time,variable,value_character,value_numeric,value_type
1996-05-01T00:00:00Z,biomass_anomaly,NA,0.375,numeric
1996-06-01T00:00:00Z,biomass_anomaly,NA,0.086,numeric
1996-07-01T00:00:00Z,biomass_anomaly,NA,-0.084,numeric
1996-08-01T00:00:00Z,biomass_anomaly,NA,-0.028,numeric
1996-09-01T00:00:00Z,biomass_anomaly,NA,0.042,numeric
1996-10-01T00:00:00Z,biomass_anomaly,NA,-0.041,numeric
1996-11-01T00:00:00Z,biomass_anomaly,NA,-0.074,numeric
1996-12-01T00:00:00Z,biomass_anomaly,NA,0.024,numeric
1997-02-01T00:00:00Z,biomass_anomaly,NA,0.046,numeric
1997-03-01T00:00:00Z,biomass_anomaly,NA,-0.041,numeric
1997-04-01T00:00:00Z,biomass_anomaly,NA,0.145,numeric
1997-05-01T00:00:00Z,biomass_anomaly,NA,-0.104,numeric
1997-06-01T00:00:00Z,biomass_anomaly,NA,-0.093,numeric
1997-07-01T00:00:00Z,biomass_anomaly,NA,0.089,numeric
1997-08-01T00:00:00Z,biomass_anomaly,NA,0.198,numeric
1997-09-01T00:00:00Z,biomass_anomaly,NA,0.423,numeric
1997-10-01T00:00:00Z,biomass_anomaly,NA,0.358,numeric
1997-11-01T00:00:00Z,biomass_anomaly,NA,0.345,numeric
1997-12-01T00:00:00Z,biomass_anomaly,NA,0.072,numeric
1998-01-01T00:00:00Z,biomass_anomaly,NA,0.14,numeric
1998-03-01T00:00:00Z,biomass_anomaly,NA,0.284,numeric
1998-04-01T00:00:00Z,biomass_anomaly,NA,0.282,numeric
1998-05-01T00:00:00Z,biomass_anomaly,NA,0.439,numeric
1998-06-01T00:00:00Z,biomass_anomaly,NA,0.596,numeric
1998-07-01T00:00:00Z,biomass_anomaly,NA,0.714,numeric
1998-08-01T00:00:00Z,biomass_anomaly,NA,0.701,numeric
1998-09-01T00:00:00Z,biomass_anomaly,NA,0.554,numeric
1998-10-01T00:00:00Z,biomass_anomaly,NA,0.202,numeric
1998-11-01T00:00:00Z,biomass_anomaly,NA,0.26,numeric
1998-12-01T00:00:00Z,biomass_anomaly,NA,-0.103,numeric
1999-02-01T00:00:00Z,biomass_anomaly,NA,-0.023,numeric
