time,variable,value_character,value_numeric,value_type
1988-01-15T00:00:00Z,cuti,NA,0.182,numeric
1988-01-15T00:00:00Z,latitude,NA,33,numeric
1988-01-15T00:00:00Z,cuti,NA,0.201,numeric
1988-01-15T00:00:00Z,latitude,NA,39,numeric
1988-01-15T00:00:00Z,cuti,NA,-0.062,numeric
1988-01-15T00:00:00Z,latitude,NA,45,numeric
1988-02-15T00:00:00Z,cuti,NA,0.16,numeric
1988-02-15T00:00:00Z,latitude,NA,33,numeric
1988-02-15T00:00:00Z,cuti,NA,0.751,numeric
1988-02-15T00:00:00Z,latitude,NA,39,numeric
1988-02-15T00:00:00Z,cuti,NA,0.23,numeric
1988-02-15T00:00:00Z,latitude,NA,45,numeric
1988-03-15T00:00:00Z,cuti,NA,0.328,numeric
1988-03-15T00:00:00Z,latitude,NA,33,numeric
1988-03-15T00:00:00Z,cuti,NA,1.473,numeric
1988-03-15T00:00:00Z,latitude,NA,39,numeric
1988-03-15T00:00:00Z,cuti,NA,0.068,numeric
1988-03-15T00:00:00Z,latitude,NA,45,numeric
1988-04-15T00:00:00Z,cuti,NA,0.279,numeric
1988-04-15T00:00:00Z,latitude,NA,33,numeric
1988-04-15T00:00:00Z,cuti,NA,0.629,numeric
1988-04-15T00:00:00Z,latitude,NA,39,numeric
1988-04-15T00:00:00Z,cuti,NA,0.065,numeric
1988-04-15T00:00:00Z,latitude,NA,45,numeric
1988-05-15T00:00:00Z,cuti,NA,0.627,numeric
1988-05-15T00:00:00Z,latitude,NA,33,numeric
1988-05-15T00:00:00Z,cuti,NA,1.371,numeric
1988-05-15T00:00:00Z,latitude,NA,39,numeric
1988-05-15T00:00:00Z,cuti,NA,-0.004,numeric
1988-05-15T00:00:00Z,latitude,NA,45,numeric
1988-06-15T00:00:00Z,cuti,NA,0.414,numeric
1988-06-15T00:00:00Z,latitude,NA,33,numeric
1988-06-15T00:00:00Z,cuti,NA,1.663,numeric
1988-06-15T00:00:00Z,latitude,NA,39,numeric
1988-06-15T00:00:00Z,cuti,NA,0.379,numeric
1988-06-15T00:00:00Z,latitude,NA,45,numeric
1988-07-15T00:00:00Z,cuti,NA,0.192,numeric
1988-07-15T00:00:00Z,latitude,NA,33,numeric
1988-07-15T00:00:00Z,cuti,NA,1.351,numeric
1988-07-15T00:00:00Z,latitude,NA,39,numeric
1988-07-15T00:00:00Z,cuti,NA,0.726,numeric
1988-07-15T00:00:00Z,latitude,NA,45,numeric
1988-08-15T00:00:00Z,cuti,NA,0.275,numeric
1988-08-15T00:00:00Z,latitude,NA,33,numeric
1988-08-15T00:00:00Z,cuti,NA,0.976,numeric
1988-08-15T00:00:00Z,latitude,NA,39,numeric
1988-08-15T00:00:00Z,cuti,NA,0.633,numeric
1988-08-15T00:00:00Z,latitude,NA,45,numeric
1988-09-15T00:00:00Z,cuti,NA,0.161,numeric
1988-09-15T00:00:00Z,latitude,NA,33,numeric
1988-09-15T00:00:00Z,cuti,NA,1.058,numeric
1988-09-15T00:00:00Z,latitude,NA,39,numeric
1988-09-15T00:00:00Z,cuti,NA,0.451,numeric
1988-09-15T00:00:00Z,latitude,NA,45,numeric
