time,variable,value_character,value_type,value_numeric
1950-01-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-02-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-03-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-04-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-05-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-06-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-07-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-08-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-09-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-10-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-11-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1950-12-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-01-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-02-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-03-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-04-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-05-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-06-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-07-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-08-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-09-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-10-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-11-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1951-12-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-01-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-02-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-03-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-04-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-05-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-06-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-07-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-08-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-09-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-10-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-11-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1952-12-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-01-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-02-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-03-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-04-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-05-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-06-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-07-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-08-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-09-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-10-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-11-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1953-12-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-01-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-02-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-03-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-04-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-05-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-06-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-07-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-08-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-09-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-10-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-11-01T00:00:00Z,location,CalCOFI 80.80,character,NA
1954-12-01T00:00:00Z,location,CalCOFI 80.80,character,NA
