time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,lusi,NA,336,numeric
1967-01-01T00:00:00Z,latitude,NA,33,numeric
1968-01-01T00:00:00Z,lusi,NA,341,numeric
1968-01-01T00:00:00Z,latitude,NA,33,numeric
1969-01-01T00:00:00Z,lusi,NA,357,numeric
1969-01-01T00:00:00Z,latitude,NA,33,numeric
1970-01-01T00:00:00Z,lusi,NA,355,numeric
1970-01-01T00:00:00Z,latitude,NA,33,numeric
1971-01-01T00:00:00Z,lusi,NA,349,numeric
1971-01-01T00:00:00Z,latitude,NA,33,numeric
1972-01-01T00:00:00Z,lusi,NA,350,numeric
1972-01-01T00:00:00Z,latitude,NA,33,numeric
1973-01-01T00:00:00Z,lusi,NA,365,numeric
1973-01-01T00:00:00Z,latitude,NA,33,numeric
1974-01-01T00:00:00Z,lusi,NA,342,numeric
1974-01-01T00:00:00Z,latitude,NA,33,numeric
1975-01-01T00:00:00Z,lusi,NA,363,numeric
1975-01-01T00:00:00Z,latitude,NA,33,numeric
1976-01-01T00:00:00Z,lusi,NA,310,numeric
1976-01-01T00:00:00Z,latitude,NA,33,numeric
1977-01-01T00:00:00Z,lusi,NA,352,numeric
1977-01-01T00:00:00Z,latitude,NA,33,numeric
1978-01-01T00:00:00Z,lusi,NA,326,numeric
1978-01-01T00:00:00Z,latitude,NA,33,numeric
1979-01-01T00:00:00Z,lusi,NA,324,numeric
1979-01-01T00:00:00Z,latitude,NA,33,numeric
1980-01-01T00:00:00Z,lusi,NA,282,numeric
1980-01-01T00:00:00Z,latitude,NA,33,numeric
1981-01-01T00:00:00Z,lusi,NA,343,numeric
1981-01-01T00:00:00Z,latitude,NA,33,numeric
1982-01-01T00:00:00Z,lusi,NA,351,numeric
1982-01-01T00:00:00Z,latitude,NA,33,numeric
1983-01-01T00:00:00Z,lusi,NA,322,numeric
1983-01-01T00:00:00Z,latitude,NA,33,numeric
1984-01-01T00:00:00Z,lusi,NA,347,numeric
1984-01-01T00:00:00Z,latitude,NA,33,numeric
1985-01-01T00:00:00Z,lusi,NA,341,numeric
1985-01-01T00:00:00Z,latitude,NA,33,numeric
1986-01-01T00:00:00Z,lusi,NA,351,numeric
1986-01-01T00:00:00Z,latitude,NA,33,numeric
1987-01-01T00:00:00Z,lusi,NA,348,numeric
1987-01-01T00:00:00Z,latitude,NA,33,numeric
1988-01-01T00:00:00Z,lusi,NA,361,numeric
1988-01-01T00:00:00Z,latitude,NA,33,numeric
1989-01-01T00:00:00Z,lusi,NA,363,numeric
1989-01-01T00:00:00Z,latitude,NA,33,numeric
1990-01-01T00:00:00Z,lusi,NA,356,numeric
1990-01-01T00:00:00Z,latitude,NA,33,numeric
1991-01-01T00:00:00Z,lusi,NA,349,numeric
1991-01-01T00:00:00Z,latitude,NA,33,numeric
1992-01-01T00:00:00Z,lusi,NA,361,numeric
1992-01-01T00:00:00Z,latitude,NA,33,numeric
1993-01-01T00:00:00Z,lusi,NA,334,numeric
1993-01-01T00:00:00Z,latitude,NA,33,numeric
1994-01-01T00:00:00Z,lusi,NA,364,numeric
1994-01-01T00:00:00Z,latitude,NA,33,numeric
1995-01-01T00:00:00Z,lusi,NA,341,numeric
1995-01-01T00:00:00Z,latitude,NA,33,numeric
1996-01-01T00:00:00Z,lusi,NA,348,numeric
1996-01-01T00:00:00Z,latitude,NA,33,numeric
1997-01-01T00:00:00Z,lusi,NA,336,numeric
1997-01-01T00:00:00Z,latitude,NA,33,numeric
1998-01-01T00:00:00Z,lusi,NA,319,numeric
1998-01-01T00:00:00Z,latitude,NA,33,numeric
1999-01-01T00:00:00Z,lusi,NA,338,numeric
1999-01-01T00:00:00Z,latitude,NA,33,numeric
2000-01-01T00:00:00Z,lusi,NA,350,numeric
2000-01-01T00:00:00Z,latitude,NA,33,numeric
2001-01-01T00:00:00Z,lusi,NA,353,numeric
2001-01-01T00:00:00Z,latitude,NA,33,numeric
2002-01-01T00:00:00Z,lusi,NA,359,numeric
2002-01-01T00:00:00Z,latitude,NA,33,numeric
2003-01-01T00:00:00Z,lusi,NA,287,numeric
2003-01-01T00:00:00Z,latitude,NA,33,numeric
2004-01-01T00:00:00Z,lusi,NA,348,numeric
2004-01-01T00:00:00Z,latitude,NA,33,numeric
2005-01-01T00:00:00Z,lusi,NA,356,numeric
2005-01-01T00:00:00Z,latitude,NA,33,numeric
2006-01-01T00:00:00Z,lusi,NA,365,numeric
2006-01-01T00:00:00Z,latitude,NA,33,numeric
2007-01-01T00:00:00Z,lusi,NA,363,numeric
2007-01-01T00:00:00Z,latitude,NA,33,numeric
2008-01-01T00:00:00Z,lusi,NA,339,numeric
2008-01-01T00:00:00Z,latitude,NA,33,numeric
2009-01-01T00:00:00Z,lusi,NA,365,numeric
2009-01-01T00:00:00Z,latitude,NA,33,numeric
2010-01-01T00:00:00Z,lusi,NA,345,numeric
2010-01-01T00:00:00Z,latitude,NA,33,numeric
2011-01-01T00:00:00Z,lusi,NA,360,numeric
