time,variable,value_character,value_numeric,value_type
1950-01-01T00:00:00Z,MEI,NA,-1.03,numeric
1950-02-01T00:00:00Z,MEI,NA,-1.133,numeric
1950-03-01T00:00:00Z,MEI,NA,-1.283,numeric
1950-04-01T00:00:00Z,MEI,NA,-1.071,numeric
1950-05-01T00:00:00Z,MEI,NA,-1.434,numeric
1950-06-01T00:00:00Z,MEI,NA,-1.412,numeric
1950-07-01T00:00:00Z,MEI,NA,-1.269,numeric
1950-08-01T00:00:00Z,MEI,NA,-1.042,numeric
1950-09-01T00:00:00Z,MEI,NA,-0.631,numeric
1950-10-01T00:00:00Z,MEI,NA,-0.441,numeric
1950-11-01T00:00:00Z,MEI,NA,-1.151,numeric
1950-12-01T00:00:00Z,MEI,NA,-1.235,numeric
1951-01-01T00:00:00Z,MEI,NA,-1.049,numeric
1951-02-01T00:00:00Z,MEI,NA,-1.152,numeric
1951-03-01T00:00:00Z,MEI,NA,-1.178,numeric
1951-04-01T00:00:00Z,MEI,NA,-0.511,numeric
1951-05-01T00:00:00Z,MEI,NA,-0.374,numeric
1951-06-01T00:00:00Z,MEI,NA,0.288,numeric
1951-07-01T00:00:00Z,MEI,NA,0.679,numeric
1951-08-01T00:00:00Z,MEI,NA,0.818,numeric
1951-09-01T00:00:00Z,MEI,NA,0.726,numeric
1951-10-01T00:00:00Z,MEI,NA,0.72,numeric
1951-11-01T00:00:00Z,MEI,NA,0.694,numeric
1951-12-01T00:00:00Z,MEI,NA,0.504,numeric
1952-01-01T00:00:00Z,MEI,NA,0.433,numeric
1952-02-01T00:00:00Z,MEI,NA,0.138,numeric
1952-03-01T00:00:00Z,MEI,NA,0.071,numeric
1952-04-01T00:00:00Z,MEI,NA,0.224,numeric
1952-05-01T00:00:00Z,MEI,NA,-0.307,numeric
1952-06-01T00:00:00Z,MEI,NA,-0.756,numeric
1952-07-01T00:00:00Z,MEI,NA,-0.305,numeric
1952-08-01T00:00:00Z,MEI,NA,-0.374,numeric
1952-09-01T00:00:00Z,MEI,NA,0.31,numeric
1952-10-01T00:00:00Z,MEI,NA,0.265,numeric
1952-11-01T00:00:00Z,MEI,NA,-0.351,numeric
1952-12-01T00:00:00Z,MEI,NA,-0.098,numeric
1953-01-01T00:00:00Z,MEI,NA,0.044,numeric
1953-02-01T00:00:00Z,MEI,NA,0.401,numeric
1953-03-01T00:00:00Z,MEI,NA,0.277,numeric
1953-04-01T00:00:00Z,MEI,NA,0.687,numeric
1953-05-01T00:00:00Z,MEI,NA,0.756,numeric
1953-06-01T00:00:00Z,MEI,NA,0.191,numeric
1953-07-01T00:00:00Z,MEI,NA,0.382,numeric
1953-08-01T00:00:00Z,MEI,NA,0.209,numeric
1953-09-01T00:00:00Z,MEI,NA,0.483,numeric
1953-10-01T00:00:00Z,MEI,NA,0.087,numeric
1953-11-01T00:00:00Z,MEI,NA,0.078,numeric
1953-12-01T00:00:00Z,MEI,NA,0.351,numeric
1954-01-01T00:00:00Z,MEI,NA,-0.036,numeric
1954-02-01T00:00:00Z,MEI,NA,-0.027,numeric
1954-03-01T00:00:00Z,MEI,NA,0.154,numeric
1954-04-01T00:00:00Z,MEI,NA,-0.616,numeric
1954-05-01T00:00:00Z,MEI,NA,-1.465,numeric
1954-06-01T00:00:00Z,MEI,NA,-1.558,numeric
1954-07-01T00:00:00Z,MEI,NA,-1.355,numeric
1954-08-01T00:00:00Z,MEI,NA,-1.456,numeric
1954-09-01T00:00:00Z,MEI,NA,-1.159,numeric
1954-10-01T00:00:00Z,MEI,NA,-1.335,numeric
1954-11-01T00:00:00Z,MEI,NA,-1.124,numeric
1954-12-01T00:00:00Z,MEI,NA,-1.088,numeric
1955-01-01T00:00:00Z,MEI,NA,-0.74,numeric
1955-02-01T00:00:00Z,MEI,NA,-0.669,numeric
1955-03-01T00:00:00Z,MEI,NA,-1.117,numeric
1955-04-01T00:00:00Z,MEI,NA,-1.621,numeric
1955-05-01T00:00:00Z,MEI,NA,-1.653,numeric
1955-06-01T00:00:00Z,MEI,NA,-2.247,numeric
1955-07-01T00:00:00Z,MEI,NA,-1.976,numeric
1955-08-01T00:00:00Z,MEI,NA,-2.05,numeric
1955-09-01T00:00:00Z,MEI,NA,-1.829,numeric
1955-10-01T00:00:00Z,MEI,NA,-1.738,numeric
1955-11-01T00:00:00Z,MEI,NA,-1.821,numeric
1955-12-01T00:00:00Z,MEI,NA,-1.846,numeric
1956-01-01T00:00:00Z,MEI,NA,-1.408,numeric
1956-02-01T00:00:00Z,MEI,NA,-1.275,numeric
1956-03-01T00:00:00Z,MEI,NA,-1.371,numeric
1956-04-01T00:00:00Z,MEI,NA,-1.216,numeric
1956-05-01T00:00:00Z,MEI,NA,-1.304,numeric
1956-06-01T00:00:00Z,MEI,NA,-1.523,numeric
1956-07-01T00:00:00Z,MEI,NA,-1.244,numeric
1956-08-01T00:00:00Z,MEI,NA,-1.118,numeric
1956-09-01T00:00:00Z,MEI,NA,-1.35,numeric
1956-10-01T00:00:00Z,MEI,NA,-1.478,numeric
1956-11-01T00:00:00Z,MEI,NA,-1.024,numeric
1956-12-01T00:00:00Z,MEI,NA,-0.993,numeric
1957-01-01T00:00:00Z,MEI,NA,-0.915,numeric
1957-02-01T00:00:00Z,MEI,NA,-0.348,numeric
