time,variable,value_character,value_numeric,value_type
1982-04-12T00:00:00Z,blob_id,NA,1982.01,numeric
1982-04-12T00:00:00Z,max_area,NA,454460,numeric
1982-04-12T00:00:00Z,duration,NA,2,numeric
1982-04-12T00:00:00Z,max_intensity,NA,1.85468,numeric
1982-04-12T00:00:00Z,mean_intensity,NA,1.83034,numeric
1982-04-12T00:00:00Z,min_dist_to_coast,NA,1184.84,numeric
1982-04-12T00:00:00Z,max_index,NA,0,numeric
1983-03-18T00:00:00Z,blob_id,NA,1983.01,numeric
1983-03-18T00:00:00Z,max_area,NA,769268,numeric
1983-03-18T00:00:00Z,duration,NA,2,numeric
1983-03-18T00:00:00Z,max_intensity,NA,2.19884,numeric
1983-03-18T00:00:00Z,mean_intensity,NA,2.08726,numeric
1983-03-18T00:00:00Z,min_dist_to_coast,NA,5.95226,numeric
1983-03-18T00:00:00Z,max_index,NA,0,numeric
1983-07-21T00:00:00Z,blob_id,NA,1983.02,numeric
1983-07-21T00:00:00Z,max_area,NA,760418,numeric
1983-07-21T00:00:00Z,duration,NA,13,numeric
1983-07-21T00:00:00Z,max_intensity,NA,1.87778,numeric
1983-07-21T00:00:00Z,mean_intensity,NA,1.75545,numeric
1983-07-21T00:00:00Z,min_dist_to_coast,NA,1393.31,numeric
1983-07-21T00:00:00Z,max_index,NA,0.0459028,numeric
1983-08-29T00:00:00Z,blob_id,NA,1983.03,numeric
1983-08-29T00:00:00Z,max_area,NA,697691,numeric
1983-08-29T00:00:00Z,duration,NA,3,numeric
1983-08-29T00:00:00Z,max_intensity,NA,2.28067,numeric
1983-08-29T00:00:00Z,mean_intensity,NA,2.09518,numeric
1983-08-29T00:00:00Z,min_dist_to_coast,NA,1762.7,numeric
1983-08-29T00:00:00Z,max_index,NA,0,numeric
1983-09-12T00:00:00Z,blob_id,NA,1983.04,numeric
1983-09-12T00:00:00Z,max_area,NA,432950,numeric
1983-09-12T00:00:00Z,duration,NA,1,numeric
1983-09-12T00:00:00Z,max_intensity,NA,2.05564,numeric
1983-09-12T00:00:00Z,mean_intensity,NA,2.05564,numeric
1983-09-12T00:00:00Z,min_dist_to_coast,NA,1014.65,numeric
1983-09-12T00:00:00Z,max_index,NA,0,numeric
1983-09-27T00:00:00Z,blob_id,NA,1983.05,numeric
1983-09-27T00:00:00Z,max_area,NA,585402,numeric
1983-09-27T00:00:00Z,duration,NA,12,numeric
1983-09-27T00:00:00Z,max_intensity,NA,2.0219,numeric
1983-09-27T00:00:00Z,mean_intensity,NA,1.79389,numeric
1983-09-27T00:00:00Z,min_dist_to_coast,NA,617.487,numeric
1983-09-27T00:00:00Z,max_index,NA,0.052384,numeric
1983-09-29T00:00:00Z,blob_id,NA,1983.06,numeric
1983-09-29T00:00:00Z,max_area,NA,451423,numeric
1983-09-29T00:00:00Z,duration,NA,1,numeric
1983-09-29T00:00:00Z,max_intensity,NA,1.68263,numeric
1983-09-29T00:00:00Z,mean_intensity,NA,1.68263,numeric
1983-09-29T00:00:00Z,min_dist_to_coast,NA,2137.51,numeric
1983-09-29T00:00:00Z,max_index,NA,0,numeric
1983-10-28T00:00:00Z,blob_id,NA,1983.07,numeric
1983-10-28T00:00:00Z,max_area,NA,1536120,numeric
1983-10-28T00:00:00Z,duration,NA,31,numeric
1983-10-28T00:00:00Z,max_intensity,NA,1.92841,numeric
1983-10-28T00:00:00Z,mean_intensity,NA,1.76,numeric
1983-10-28T00:00:00Z,min_dist_to_coast,NA,495.297,numeric
1983-10-28T00:00:00Z,max_index,NA,0.161844,numeric
1984-01-28T00:00:00Z,blob_id,NA,1984.01,numeric
1984-01-28T00:00:00Z,max_area,NA,831695,numeric
1984-01-28T00:00:00Z,duration,NA,12,numeric
1984-01-28T00:00:00Z,max_intensity,NA,2.0941,numeric
1984-01-28T00:00:00Z,mean_intensity,NA,1.86668,numeric
