time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,nph_area,NA,3.2496328,numeric
1967-02-01T00:00:00Z,nph_area,NA,5.715432,numeric
1967-03-01T00:00:00Z,nph_area,NA,4.0730567,numeric
1967-04-01T00:00:00Z,nph_area,NA,5.5263944,numeric
1967-05-01T00:00:00Z,nph_area,NA,6.104722,numeric
1967-06-01T00:00:00Z,nph_area,NA,3.5204604,numeric
1967-07-01T00:00:00Z,nph_area,NA,5.3314147,numeric
1967-08-01T00:00:00Z,nph_area,NA,3.7920363,numeric
1967-09-01T00:00:00Z,nph_area,NA,0.29268232,numeric
1967-10-01T00:00:00Z,nph_area,NA,1.6078409,numeric
1967-11-01T00:00:00Z,nph_area,NA,3.9780328,numeric
1967-12-01T00:00:00Z,nph_area,NA,3.2032378,numeric
1968-01-01T00:00:00Z,nph_area,NA,0.91650856,numeric
1968-02-01T00:00:00Z,nph_area,NA,0,numeric
1968-03-01T00:00:00Z,nph_area,NA,3.7610152,numeric
1968-04-01T00:00:00Z,nph_area,NA,6.3045883,numeric
1968-05-01T00:00:00Z,nph_area,NA,1.9214123,numeric
1968-06-01T00:00:00Z,nph_area,NA,5.7888746,numeric
1968-07-01T00:00:00Z,nph_area,NA,5.1398797,numeric
1968-08-01T00:00:00Z,nph_area,NA,4.6288414,numeric
1968-09-01T00:00:00Z,nph_area,NA,2.1732013,numeric
1968-10-01T00:00:00Z,nph_area,NA,0.43914688,numeric
1968-11-01T00:00:00Z,nph_area,NA,2.3345788,numeric
1968-12-01T00:00:00Z,nph_area,NA,0.5721009,numeric
1969-01-01T00:00:00Z,nph_area,NA,0.010748918,numeric
1969-02-01T00:00:00Z,nph_area,NA,2.4869463,numeric
1969-03-01T00:00:00Z,nph_area,NA,5.2935934,numeric
1969-04-01T00:00:00Z,nph_area,NA,5.527428,numeric
1969-05-01T00:00:00Z,nph_area,NA,2.700375,numeric
1969-06-01T00:00:00Z,nph_area,NA,2.6218874,numeric
1969-07-01T00:00:00Z,nph_area,NA,5.8669395,numeric
1969-08-01T00:00:00Z,nph_area,NA,4.729407,numeric
1969-09-01T00:00:00Z,nph_area,NA,2.5388572,numeric
1969-10-01T00:00:00Z,nph_area,NA,0.06320038,numeric
1969-11-01T00:00:00Z,nph_area,NA,1.3958266,numeric
1969-12-01T00:00:00Z,nph_area,NA,0.77302,numeric
1970-01-01T00:00:00Z,nph_area,NA,0.16299982,numeric
1970-02-01T00:00:00Z,nph_area,NA,0,numeric
1970-03-01T00:00:00Z,nph_area,NA,5.4882054,numeric
1970-04-01T00:00:00Z,nph_area,NA,7.113914,numeric
1970-05-01T00:00:00Z,nph_area,NA,6.5035086,numeric
1970-06-01T00:00:00Z,nph_area,NA,5.8353586,numeric
1970-07-01T00:00:00Z,nph_area,NA,5.597034,numeric
1970-08-01T00:00:00Z,nph_area,NA,4.8046036,numeric
1970-09-01T00:00:00Z,nph_area,NA,2.527459,numeric
1970-10-01T00:00:00Z,nph_area,NA,0.78037256,numeric
1970-11-01T00:00:00Z,nph_area,NA,3.4230232,numeric
1970-12-01T00:00:00Z,nph_area,NA,5.5373826,numeric
1971-01-01T00:00:00Z,nph_area,NA,3.6375103,numeric
1971-02-01T00:00:00Z,nph_area,NA,4.9386168,numeric
1971-03-01T00:00:00Z,nph_area,NA,5.023162,numeric
1971-04-01T00:00:00Z,nph_area,NA,6.4170446,numeric
1971-05-01T00:00:00Z,nph_area,NA,6.8155274,numeric
1971-06-01T00:00:00Z,nph_area,NA,5.7522674,numeric
1971-07-01T00:00:00Z,nph_area,NA,5.251869,numeric
1971-08-01T00:00:00Z,nph_area,NA,2.8930712,numeric
1971-09-01T00:00:00Z,nph_area,NA,3.6900604,numeric
1971-10-01T00:00:00Z,nph_area,NA,4.975633,numeric
1971-11-01T00:00:00Z,nph_area,NA,5.608932,numeric
1971-12-01T00:00:00Z,nph_area,NA,6.131018,numeric
1972-01-01T00:00:00Z,nph_area,NA,3.9033895,numeric
1972-02-01T00:00:00Z,nph_area,NA,0.6288626,numeric
1972-03-01T00:00:00Z,nph_area,NA,1.6547587,numeric
1972-04-01T00:00:00Z,nph_area,NA,6.7662897,numeric
1972-05-01T00:00:00Z,nph_area,NA,5.085162,numeric
1972-06-01T00:00:00Z,nph_area,NA,4.6312366,numeric
1972-07-01T00:00:00Z,nph_area,NA,4.5218706,numeric
1972-08-01T00:00:00Z,nph_area,NA,3.3390615,numeric
1972-09-01T00:00:00Z,nph_area,NA,2.5466785,numeric
1972-10-01T00:00:00Z,nph_area,NA,2.677101,numeric
1972-11-01T00:00:00Z,nph_area,NA,4.1174545,numeric
1972-12-01T00:00:00Z,nph_area,NA,0.9387772,numeric
1973-01-01T00:00:00Z,nph_area,NA,1.5660218,numeric
1973-02-01T00:00:00Z,nph_area,NA,1.271321,numeric
1973-03-01T00:00:00Z,nph_area,NA,7.497085,numeric
1973-04-01T00:00:00Z,nph_area,NA,7.1354876,numeric
1973-05-01T00:00:00Z,nph_area,NA,6.227119,numeric
1973-06-01T00:00:00Z,nph_area,NA,5.8095164,numeric
1973-07-01T00:00:00Z,nph_area,NA,5.1444774,numeric
1973-08-01T00:00:00Z,nph_area,NA,5.3322124,numeric
1973-09-01T00:00:00Z,nph_area,NA,3.0245261,numeric
1973-10-01T00:00:00Z,nph_area,NA,4.118089,numeric
1973-11-01T00:00:00Z,nph_area,NA,4.594533,numeric
1973-12-01T00:00:00Z,nph_area,NA,2.335672,numeric
1974-01-01T00:00:00Z,nph_area,NA,0.28521112,numeric
1974-02-01T00:00:00Z,nph_area,NA,5.8678064,numeric
1974-03-01T00:00:00Z,nph_area,NA,0.88271284,numeric
1974-04-01T00:00:00Z,nph_area,NA,6.8110423,numeric
1974-05-01T00:00:00Z,nph_area,NA,6.511325,numeric
1974-06-01T00:00:00Z,nph_area,NA,5.525396,numeric
1974-07-01T00:00:00Z,nph_area,NA,5.5692053,numeric
1974-08-01T00:00:00Z,nph_area,NA,3.1206539,numeric
1974-09-01T00:00:00Z,nph_area,NA,0.50347877,numeric
1974-10-01T00:00:00Z,nph_area,NA,3.9624517,numeric
1974-11-01T00:00:00Z,nph_area,NA,3.0258288,numeric
1974-12-01T00:00:00Z,nph_area,NA,5.605674,numeric
1975-01-01T00:00:00Z,nph_area,NA,5.3256736,numeric
1975-02-01T00:00:00Z,nph_area,NA,1.6130711,numeric
1975-03-01T00:00:00Z,nph_area,NA,6.482675,numeric
1975-04-01T00:00:00Z,nph_area,NA,7.8105264,numeric
1975-05-01T00:00:00Z,nph_area,NA,5.851953,numeric
1975-06-01T00:00:00Z,nph_area,NA,6.0803995,numeric
1975-07-01T00:00:00Z,nph_area,NA,5.5783086,numeric
1975-08-01T00:00:00Z,nph_area,NA,5.6378,numeric
1975-09-01T00:00:00Z,nph_area,NA,3.8660583,numeric
1975-10-01T00:00:00Z,nph_area,NA,4.8626094,numeric
1975-11-01T00:00:00Z,nph_area,NA,4.0452957,numeric
1975-12-01T00:00:00Z,nph_area,NA,3.565549,numeric
1976-01-01T00:00:00Z,nph_area,NA,3.2938058,numeric
1976-02-01T00:00:00Z,nph_area,NA,5.099693,numeric
1976-03-01T00:00:00Z,nph_area,NA,4.9681244,numeric
1976-04-01T00:00:00Z,nph_area,NA,6.023045,numeric
1976-05-01T00:00:00Z,nph_area,NA,6.6424136,numeric
1976-06-01T00:00:00Z,nph_area,NA,5.050322,numeric
1976-07-01T00:00:00Z,nph_area,NA,4.6589084,numeric
1976-08-01T00:00:00Z,nph_area,NA,4.793516,numeric
1976-09-01T00:00:00Z,nph_area,NA,0.112185165,numeric
1976-10-01T00:00:00Z,nph_area,NA,0.6673563,numeric
1976-11-01T00:00:00Z,nph_area,NA,0.5067671,numeric
1976-12-01T00:00:00Z,nph_area,NA,2.004656,numeric
1977-01-01T00:00:00Z,nph_area,NA,1.0153699,numeric
1977-02-01T00:00:00Z,nph_area,NA,3.7187006,numeric
1977-03-01T00:00:00Z,nph_area,NA,7.4013805,numeric
1977-04-01T00:00:00Z,nph_area,NA,6.741465,numeric
1977-05-01T00:00:00Z,nph_area,NA,6.382064,numeric
1977-06-01T00:00:00Z,nph_area,NA,4.9144673,numeric
1977-07-01T00:00:00Z,nph_area,NA,5.5933704,numeric
1977-08-01T00:00:00Z,nph_area,NA,2.375287,numeric
1977-09-01T00:00:00Z,nph_area,NA,2.468112,numeric
1977-10-01T00:00:00Z,nph_area,NA,2.6805408,numeric
1977-11-01T00:00:00Z,nph_area,NA,2.6074011,numeric
1977-12-01T00:00:00Z,nph_area,NA,0.032451414,numeric
1978-01-01T00:00:00Z,nph_area,NA,0,numeric
1978-02-01T00:00:00Z,nph_area,NA,0.065982126,numeric
1978-03-01T00:00:00Z,nph_area,NA,1.0305225,numeric
1978-04-01T00:00:00Z,nph_area,NA,5.325813,numeric
1978-05-01T00:00:00Z,nph_area,NA,6.140147,numeric
1978-06-01T00:00:00Z,nph_area,NA,6.0412283,numeric
1978-07-01T00:00:00Z,nph_area,NA,4.9213777,numeric
1978-08-01T00:00:00Z,nph_area,NA,4.709784,numeric
1978-09-01T00:00:00Z,nph_area,NA,2.7880902,numeric
1978-10-01T00:00:00Z,nph_area,NA,2.2539313,numeric
1978-11-01T00:00:00Z,nph_area,NA,3.741646,numeric
1978-12-01T00:00:00Z,nph_area,NA,5.6880035,numeric
1979-01-01T00:00:00Z,nph_area,NA,0.6122342,numeric
1979-02-01T00:00:00Z,nph_area,NA,4.5632005,numeric
1979-03-01T00:00:00Z,nph_area,NA,3.0845933,numeric
1979-04-01T00:00:00Z,nph_area,NA,5.1807632,numeric
1979-05-01T00:00:00Z,nph_area,NA,4.9023466000000004,numeric
1979-06-01T00:00:00Z,nph_area,NA,6.369151,numeric
1979-07-01T00:00:00Z,nph_area,NA,5.1400065,numeric
1979-08-01T00:00:00Z,nph_area,NA,0.52871084,numeric
1979-09-01T00:00:00Z,nph_area,NA,0.5018994,numeric
1979-10-01T00:00:00Z,nph_area,NA,0.020956874,numeric
1979-11-01T00:00:00Z,nph_area,NA,3.8084264,numeric
1979-12-01T00:00:00Z,nph_area,NA,0.12779294,numeric
1980-01-01T00:00:00Z,nph_area,NA,0,numeric
1980-02-01T00:00:00Z,nph_area,NA,0.011395124,numeric
1980-03-01T00:00:00Z,nph_area,NA,6.610723,numeric
1980-04-01T00:00:00Z,nph_area,NA,4.7456374,numeric
1980-05-01T00:00:00Z,nph_area,NA,6.2882204,numeric
1980-06-01T00:00:00Z,nph_area,NA,6.4238,numeric
1980-07-01T00:00:00Z,nph_area,NA,5.1267734,numeric
1980-08-01T00:00:00Z,nph_area,NA,4.3545237,numeric
1980-09-01T00:00:00Z,nph_area,NA,2.991049,numeric
1980-10-01T00:00:00Z,nph_area,NA,1.8626549,numeric
1980-11-01T00:00:00Z,nph_area,NA,3.0716028,numeric
1980-12-01T00:00:00Z,nph_area,NA,0.7699292,numeric
1981-01-01T00:00:00Z,nph_area,NA,0.021996265,numeric
1981-02-01T00:00:00Z,nph_area,NA,0.80499697,numeric
1981-03-01T00:00:00Z,nph_area,NA,4.3694057,numeric
1981-04-01T00:00:00Z,nph_area,NA,6.2382874,numeric
1981-05-01T00:00:00Z,nph_area,NA,4.423201,numeric
1981-06-01T00:00:00Z,nph_area,NA,4.9901905,numeric
1981-07-01T00:00:00Z,nph_area,NA,4.8785224,numeric
1981-08-01T00:00:00Z,nph_area,NA,4.0286403,numeric
1981-09-01T00:00:00Z,nph_area,NA,1.5954019,numeric
1981-10-01T00:00:00Z,nph_area,NA,2.3986685,numeric
1981-11-01T00:00:00Z,nph_area,NA,1.0416064,numeric
1981-12-01T00:00:00Z,nph_area,NA,1.6246369,numeric
1982-01-01T00:00:00Z,nph_area,NA,3.5365567,numeric
1982-02-01T00:00:00Z,nph_area,NA,0.9689849,numeric
1982-03-01T00:00:00Z,nph_area,NA,2.5225039,numeric
1982-04-01T00:00:00Z,nph_area,NA,4.1828074,numeric
1982-05-01T00:00:00Z,nph_area,NA,5.566135,numeric
1982-06-01T00:00:00Z,nph_area,NA,1.5967586,numeric
1982-07-01T00:00:00Z,nph_area,NA,4.6620293,numeric
1982-08-01T00:00:00Z,nph_area,NA,5.077075,numeric
1982-09-01T00:00:00Z,nph_area,NA,3.5038252,numeric
1982-10-01T00:00:00Z,nph_area,NA,0.32765773,numeric
1982-11-01T00:00:00Z,nph_area,NA,0.08588247,numeric
1982-12-01T00:00:00Z,nph_area,NA,0.89314836,numeric
1983-01-01T00:00:00Z,nph_area,NA,0.021996265,numeric
1983-02-01T00:00:00Z,nph_area,NA,0.0112273395,numeric
1983-03-01T00:00:00Z,nph_area,NA,0.022625877,numeric
1983-04-01T00:00:00Z,nph_area,NA,4.299894,numeric
1983-05-01T00:00:00Z,nph_area,NA,6.0881367,numeric
1983-06-01T00:00:00Z,nph_area,NA,5.5320373,numeric
1983-07-01T00:00:00Z,nph_area,NA,5.4884925,numeric
1983-08-01T00:00:00Z,nph_area,NA,5.105007,numeric
1983-09-01T00:00:00Z,nph_area,NA,4.0100894,numeric
1983-10-01T00:00:00Z,nph_area,NA,1.9729327,numeric
1983-11-01T00:00:00Z,nph_area,NA,1.2883205,numeric
1983-12-01T00:00:00Z,nph_area,NA,0.13117872,numeric
1984-01-01T00:00:00Z,nph_area,NA,4.325698,numeric
1984-02-01T00:00:00Z,nph_area,NA,3.0230238,numeric
1984-03-01T00:00:00Z,nph_area,NA,2.769206,numeric
1984-04-01T00:00:00Z,nph_area,NA,6.812149,numeric
1984-05-01T00:00:00Z,nph_area,NA,5.8119245,numeric
1984-06-01T00:00:00Z,nph_area,NA,5.6805925,numeric
1984-07-01T00:00:00Z,nph_area,NA,4.0685067,numeric
1984-08-01T00:00:00Z,nph_area,NA,4.2508936,numeric
1984-09-01T00:00:00Z,nph_area,NA,1.2245636,numeric
1984-10-01T00:00:00Z,nph_area,NA,2.764486,numeric
1984-11-01T00:00:00Z,nph_area,NA,3.900112,numeric
1984-12-01T00:00:00Z,nph_area,NA,3.385067,numeric
1985-01-01T00:00:00Z,nph_area,NA,1.1504897,numeric
1985-02-01T00:00:00Z,nph_area,NA,4.9893565,numeric
1985-03-01T00:00:00Z,nph_area,NA,6.584165,numeric
1985-04-01T00:00:00Z,nph_area,NA,5.6925426,numeric
1985-05-01T00:00:00Z,nph_area,NA,5.3347445,numeric
1985-06-01T00:00:00Z,nph_area,NA,4.1611104,numeric
1985-07-01T00:00:00Z,nph_area,NA,4.5882883,numeric
1985-08-01T00:00:00Z,nph_area,NA,4.456852,numeric
1985-09-01T00:00:00Z,nph_area,NA,3.2628665,numeric
1985-10-01T00:00:00Z,nph_area,NA,3.8871133,numeric
1985-11-01T00:00:00Z,nph_area,NA,0.8457685,numeric
1985-12-01T00:00:00Z,nph_area,NA,0.81701034,numeric
1986-01-01T00:00:00Z,nph_area,NA,0.032550443,numeric
1986-02-01T00:00:00Z,nph_area,NA,0.022184335,numeric
1986-03-01T00:00:00Z,nph_area,NA,0.38560796,numeric
1986-04-01T00:00:00Z,nph_area,NA,6.1669736,numeric
1986-05-01T00:00:00Z,nph_area,NA,3.5765705,numeric
1986-06-01T00:00:00Z,nph_area,NA,3.8212142,numeric
1986-07-01T00:00:00Z,nph_area,NA,5.433209,numeric
1986-08-01T00:00:00Z,nph_area,NA,3.5016925,numeric
1986-09-01T00:00:00Z,nph_area,NA,2.425386,numeric
1986-10-01T00:00:00Z,nph_area,NA,0,numeric
1986-11-01T00:00:00Z,nph_area,NA,4.7239995,numeric
1986-12-01T00:00:00Z,nph_area,NA,0.9156561,numeric
1987-01-01T00:00:00Z,nph_area,NA,3.044875,numeric
1987-02-01T00:00:00Z,nph_area,NA,0,numeric
1987-03-01T00:00:00Z,nph_area,NA,0.021801526,numeric
1987-04-01T00:00:00Z,nph_area,NA,4.2271667,numeric
1987-05-01T00:00:00Z,nph_area,NA,3.935888,numeric
1987-06-01T00:00:00Z,nph_area,NA,5.3214145,numeric
1987-07-01T00:00:00Z,nph_area,NA,4.225218,numeric
1987-08-01T00:00:00Z,nph_area,NA,3.0320423,numeric
1987-09-01T00:00:00Z,nph_area,NA,3.0717561,numeric
1987-10-01T00:00:00Z,nph_area,NA,1.9336674,numeric
1987-11-01T00:00:00Z,nph_area,NA,3.3439293,numeric
1987-12-01T00:00:00Z,nph_area,NA,3.2421799,numeric
1988-01-01T00:00:00Z,nph_area,NA,1.4146376,numeric
1988-02-01T00:00:00Z,nph_area,NA,2.95621,numeric
1988-03-01T00:00:00Z,nph_area,NA,6.2629356,numeric
1988-04-01T00:00:00Z,nph_area,NA,3.729794,numeric
1988-05-01T00:00:00Z,nph_area,NA,5.8025384,numeric
1988-06-01T00:00:00Z,nph_area,NA,5.606941,numeric
1988-07-01T00:00:00Z,nph_area,NA,5.015535,numeric
1988-08-01T00:00:00Z,nph_area,NA,4.2868967,numeric
1988-09-01T00:00:00Z,nph_area,NA,3.498218,numeric
1988-10-01T00:00:00Z,nph_area,NA,0.16522226,numeric
1988-11-01T00:00:00Z,nph_area,NA,4.345639,numeric
1988-12-01T00:00:00Z,nph_area,NA,4.5604997,numeric
1989-01-01T00:00:00Z,nph_area,NA,6.8783164,numeric
1989-02-01T00:00:00Z,nph_area,NA,4.376984,numeric
1989-03-01T00:00:00Z,nph_area,NA,0.6148004,numeric
1989-04-01T00:00:00Z,nph_area,NA,3.5326989,numeric
1989-05-01T00:00:00Z,nph_area,NA,6.3880987,numeric
1989-06-01T00:00:00Z,nph_area,NA,4.9125676,numeric
1989-07-01T00:00:00Z,nph_area,NA,6.1249013,numeric
1989-08-01T00:00:00Z,nph_area,NA,4.785868,numeric
1989-09-01T00:00:00Z,nph_area,NA,2.5940356,numeric
1989-10-01T00:00:00Z,nph_area,NA,2.2442951,numeric
1989-11-01T00:00:00Z,nph_area,NA,2.012629,numeric
1989-12-01T00:00:00Z,nph_area,NA,1.7623048,numeric
1990-01-01T00:00:00Z,nph_area,NA,4.330973,numeric
1990-02-01T00:00:00Z,nph_area,NA,5.702829,numeric
1990-03-01T00:00:00Z,nph_area,NA,4.0565863,numeric
1990-04-01T00:00:00Z,nph_area,NA,2.7864017,numeric
1990-05-01T00:00:00Z,nph_area,NA,5.4921274,numeric
1990-06-01T00:00:00Z,nph_area,NA,5.9877987,numeric
1990-07-01T00:00:00Z,nph_area,NA,4.1713743,numeric
1990-08-01T00:00:00Z,nph_area,NA,4.086731,numeric
1990-09-01T00:00:00Z,nph_area,NA,3.4513898,numeric
