time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,nph_area,NA,4.4825325,numeric
1968-01-01T00:00:00Z,nph_area,NA,0.45825428,numeric
1969-01-01T00:00:00Z,nph_area,NA,1.2488476,numeric
1970-01-01T00:00:00Z,nph_area,NA,0.08149991,numeric
1971-01-01T00:00:00Z,nph_area,NA,4.2880635,numeric
1972-01-01T00:00:00Z,nph_area,NA,2.266126,numeric
1973-01-01T00:00:00Z,nph_area,NA,1.4186715,numeric
1974-01-01T00:00:00Z,nph_area,NA,3.0765088,numeric
1975-01-01T00:00:00Z,nph_area,NA,3.4693723,numeric
1976-01-01T00:00:00Z,nph_area,NA,4.196749,numeric
1977-01-01T00:00:00Z,nph_area,NA,2.3670352,numeric
1978-01-01T00:00:00Z,nph_area,NA,0.032991063,numeric
1979-01-01T00:00:00Z,nph_area,NA,2.5877175,numeric
1980-01-01T00:00:00Z,nph_area,NA,0.005697562,numeric
1981-01-01T00:00:00Z,nph_area,NA,0.4134966,numeric
1982-01-01T00:00:00Z,nph_area,NA,2.2527707,numeric
1983-01-01T00:00:00Z,nph_area,NA,0.016611803,numeric
1984-01-01T00:00:00Z,nph_area,NA,3.6743608,numeric
1985-01-01T00:00:00Z,nph_area,NA,3.0699232,numeric
1986-01-01T00:00:00Z,nph_area,NA,0.027367389,numeric
1987-01-01T00:00:00Z,nph_area,NA,1.5224375,numeric
1988-01-01T00:00:00Z,nph_area,NA,2.1854239,numeric
1989-01-01T00:00:00Z,nph_area,NA,5.6276503,numeric
1990-01-01T00:00:00Z,nph_area,NA,5.016901,numeric
1991-01-01T00:00:00Z,nph_area,NA,0.9893222,numeric
1992-01-01T00:00:00Z,nph_area,NA,0.264064,numeric
1993-01-01T00:00:00Z,nph_area,NA,0.0056136698,numeric
1994-01-01T00:00:00Z,nph_area,NA,2.0733588,numeric
1995-01-01T00:00:00Z,nph_area,NA,0.05940097,numeric
1996-01-01T00:00:00Z,nph_area,NA,0.9583148,numeric
1997-01-01T00:00:00Z,nph_area,NA,2.930346,numeric
1998-01-01T00:00:00Z,nph_area,NA,0.79519403,numeric
1999-01-01T00:00:00Z,nph_area,NA,5.218274,numeric
2000-01-01T00:00:00Z,nph_area,NA,4.1288614,numeric
2001-01-01T00:00:00Z,nph_area,NA,3.913914,numeric
2002-01-01T00:00:00Z,nph_area,NA,4.169472,numeric
2003-01-01T00:00:00Z,nph_area,NA,1.0453621,numeric
2004-01-01T00:00:00Z,nph_area,NA,1.306864,numeric
2005-01-01T00:00:00Z,nph_area,NA,0.15742233,numeric
2006-01-01T00:00:00Z,nph_area,NA,5.1211367,numeric
2007-01-01T00:00:00Z,nph_area,NA,5.043612,numeric
2008-01-01T00:00:00Z,nph_area,NA,5.229633,numeric
2009-01-01T00:00:00Z,nph_area,NA,5.2279606,numeric
2010-01-01T00:00:00Z,nph_area,NA,0.09973044,numeric
2011-01-01T00:00:00Z,nph_area,NA,4.3080826,numeric
2012-01-01T00:00:00Z,nph_area,NA,4.405894,numeric
2013-01-01T00:00:00Z,nph_area,NA,5.8033113,numeric
2014-01-01T00:00:00Z,nph_area,NA,0.8986275,numeric
2015-01-01T00:00:00Z,nph_area,NA,0.60082144,numeric
2016-01-01T00:00:00Z,nph_area,NA,0.6913301,numeric
2017-01-01T00:00:00Z,nph_area,NA,0.38410777,numeric
2018-01-01T00:00:00Z,nph_area,NA,1.3934338,numeric
2019-01-01T00:00:00Z,nph_area,NA,1.3483703,numeric
2020-01-01T00:00:00Z,nph_area,NA,5.8065233,numeric
2021-01-01T00:00:00Z,nph_area,NA,0.06764351,numeric
