time,variable,value_character,value_numeric,value_type
1950-01-01T00:00:00Z,ONI,NA,-1.53,numeric
1950-02-01T00:00:00Z,ONI,NA,-1.34,numeric
1950-03-01T00:00:00Z,ONI,NA,-1.16,numeric
1950-04-01T00:00:00Z,ONI,NA,-1.18,numeric
1950-05-01T00:00:00Z,ONI,NA,-1.07,numeric
1950-06-01T00:00:00Z,ONI,NA,-0.85,numeric
1950-07-01T00:00:00Z,ONI,NA,-0.54,numeric
1950-08-01T00:00:00Z,ONI,NA,-0.42,numeric
1950-09-01T00:00:00Z,ONI,NA,-0.39,numeric
1950-10-01T00:00:00Z,ONI,NA,-0.44,numeric
1950-11-01T00:00:00Z,ONI,NA,-0.6,numeric
1950-12-01T00:00:00Z,ONI,NA,-0.8,numeric
1951-01-01T00:00:00Z,ONI,NA,-0.82,numeric
1951-02-01T00:00:00Z,ONI,NA,-0.54,numeric
1951-03-01T00:00:00Z,ONI,NA,-0.17,numeric
1951-04-01T00:00:00Z,ONI,NA,0.18,numeric
1951-05-01T00:00:00Z,ONI,NA,0.36,numeric
1951-06-01T00:00:00Z,ONI,NA,0.58,numeric
1951-07-01T00:00:00Z,ONI,NA,0.7,numeric
1951-08-01T00:00:00Z,ONI,NA,0.89,numeric
1951-09-01T00:00:00Z,ONI,NA,0.99,numeric
1951-10-01T00:00:00Z,ONI,NA,1.15,numeric
1951-11-01T00:00:00Z,ONI,NA,1.04,numeric
1951-12-01T00:00:00Z,ONI,NA,0.81,numeric
1952-01-01T00:00:00Z,ONI,NA,0.53,numeric
1952-02-01T00:00:00Z,ONI,NA,0.37,numeric
1952-03-01T00:00:00Z,ONI,NA,0.34,numeric
1952-04-01T00:00:00Z,ONI,NA,0.29,numeric
1952-05-01T00:00:00Z,ONI,NA,0.2,numeric
1952-06-01T00:00:00Z,ONI,NA,0,numeric
1952-07-01T00:00:00Z,ONI,NA,-0.08,numeric
1952-08-01T00:00:00Z,ONI,NA,0,numeric
1952-09-01T00:00:00Z,ONI,NA,0.15,numeric
1952-10-01T00:00:00Z,ONI,NA,0.1,numeric
1952-11-01T00:00:00Z,ONI,NA,0.04,numeric
1952-12-01T00:00:00Z,ONI,NA,0.15,numeric
1953-01-01T00:00:00Z,ONI,NA,0.4,numeric
1953-02-01T00:00:00Z,ONI,NA,0.6,numeric
