time,variable,value_character,value_numeric,value_type
1982-04-01T00:00:00Z,SST,NA,14.88,numeric
1982-05-01T00:00:00Z,SST,NA,16.04,numeric
1982-06-01T00:00:00Z,SST,NA,16.64,numeric
1982-07-01T00:00:00Z,SST,NA,17.86,numeric
1982-08-01T00:00:00Z,SST,NA,18.78,numeric
1982-09-01T00:00:00Z,SST,NA,19.56,numeric
1982-10-01T00:00:00Z,SST,NA,18.78,numeric
1982-11-01T00:00:00Z,SST,NA,17.31,numeric
1982-12-01T00:00:00Z,SST,NA,15.35,numeric
1983-01-01T00:00:00Z,SST,NA,15.86,numeric
1983-02-01T00:00:00Z,SST,NA,16.1,numeric
1983-03-01T00:00:00Z,SST,NA,16.01,numeric
1983-04-01T00:00:00Z,SST,NA,14.99,numeric
1983-05-01T00:00:00Z,SST,NA,16.68,numeric
1983-06-01T00:00:00Z,SST,NA,18.04,numeric
1983-07-01T00:00:00Z,SST,NA,19.76,numeric
1983-08-01T00:00:00Z,SST,NA,21.64,numeric
1983-09-01T00:00:00Z,SST,NA,21.38,numeric
1983-10-01T00:00:00Z,SST,NA,21.12,numeric
1983-11-01T00:00:00Z,SST,NA,19.03,numeric
1983-12-01T00:00:00Z,SST,NA,16.68,numeric
1984-01-01T00:00:00Z,SST,NA,16.25,numeric
1984-02-01T00:00:00Z,SST,NA,16.09,numeric
1984-04-01T00:00:00Z,SST,NA,15.83,numeric
1984-05-01T00:00:00Z,SST,NA,17.1,numeric
1984-06-01T00:00:00Z,SST,NA,18.41,numeric
1984-07-01T00:00:00Z,SST,NA,20.98,numeric
1984-08-01T00:00:00Z,SST,NA,22.44,numeric
1984-09-01T00:00:00Z,SST,NA,21.8,numeric
1984-10-01T00:00:00Z,SST,NA,18.99,numeric
1984-11-01T00:00:00Z,SST,NA,16.11,numeric
1984-12-01T00:00:00Z,SST,NA,14.73,numeric
1985-01-01T00:00:00Z,SST,NA,14.33,numeric
1985-02-01T00:00:00Z,SST,NA,13.98,numeric
1985-03-01T00:00:00Z,SST,NA,13.7,numeric
1985-04-01T00:00:00Z,SST,NA,14.51,numeric
1985-05-01T00:00:00Z,SST,NA,14.94,numeric
1985-06-01T00:00:00Z,SST,NA,17.22,numeric
1985-07-01T00:00:00Z,SST,NA,19.38,numeric
1985-08-01T00:00:00Z,SST,NA,20.33,numeric
1985-09-01T00:00:00Z,SST,NA,19.94,numeric
1985-10-01T00:00:00Z,SST,NA,19.6,numeric
1985-11-01T00:00:00Z,SST,NA,16.9,numeric
1985-12-01T00:00:00Z,SST,NA,14.81,numeric
1986-01-01T00:00:00Z,SST,NA,15.1,numeric
1986-02-01T00:00:00Z,SST,NA,14.97,numeric
1986-03-01T00:00:00Z,SST,NA,15.32,numeric
1986-04-01T00:00:00Z,SST,NA,15.55,numeric
1986-05-01T00:00:00Z,SST,NA,16.24,numeric
1986-06-01T00:00:00Z,SST,NA,18.15,numeric
1986-07-01T00:00:00Z,SST,NA,19.86,numeric
1986-08-01T00:00:00Z,SST,NA,19.94,numeric
1986-09-01T00:00:00Z,SST,NA,19.46,numeric
1986-10-01T00:00:00Z,SST,NA,19.07,numeric
1986-11-01T00:00:00Z,SST,NA,18.14,numeric
1986-12-01T00:00:00Z,SST,NA,17.15,numeric
1987-01-01T00:00:00Z,SST,NA,15.06,numeric
1987-02-01T00:00:00Z,SST,NA,15.06,numeric
1987-03-01T00:00:00Z,SST,NA,14.48,numeric
1987-04-01T00:00:00Z,SST,NA,15.55,numeric
1987-05-01T00:00:00Z,SST,NA,17.67,numeric
1987-06-01T00:00:00Z,SST,NA,17.8,numeric
1987-07-01T00:00:00Z,SST,NA,18.95,numeric
1987-08-01T00:00:00Z,SST,NA,20.31,numeric
1987-10-01T00:00:00Z,SST,NA,19.37,numeric
1987-11-01T00:00:00Z,SST,NA,17.6,numeric
1987-12-01T00:00:00Z,SST,NA,14.38,numeric
1988-01-01T00:00:00Z,SST,NA,13.72,numeric
1988-02-01T00:00:00Z,SST,NA,14.3,numeric
1988-03-01T00:00:00Z,SST,NA,14.99,numeric
1988-04-01T00:00:00Z,SST,NA,16.22,numeric
1988-05-01T00:00:00Z,SST,NA,15.98,numeric
1988-06-01T00:00:00Z,SST,NA,16.18,numeric
1988-07-01T00:00:00Z,SST,NA,19.85,numeric
1988-08-01T00:00:00Z,SST,NA,20.34,numeric
1988-09-01T00:00:00Z,SST,NA,19.19,numeric
1988-10-01T00:00:00Z,SST,NA,18.8,numeric
1988-11-01T00:00:00Z,SST,NA,16.27,numeric
1988-12-01T00:00:00Z,SST,NA,14.26,numeric
1989-01-01T00:00:00Z,SST,NA,12.87,numeric
1989-02-01T00:00:00Z,SST,NA,13.07,numeric
1989-03-01T00:00:00Z,SST,NA,14.13,numeric
1989-04-01T00:00:00Z,SST,NA,15.77,numeric
1989-05-01T00:00:00Z,SST,NA,16.76,numeric
1989-10-01T00:00:00Z,SST,NA,17.88,numeric
1989-11-01T00:00:00Z,SST,NA,17.67,numeric
1989-12-01T00:00:00Z,SST,NA,16.9,numeric
1990-01-01T00:00:00Z,SST,NA,15.73,numeric
1990-02-01T00:00:00Z,SST,NA,13.95,numeric
1990-03-01T00:00:00Z,SST,NA,14.26,numeric
1990-04-01T00:00:00Z,SST,NA,15.97,numeric
1990-05-01T00:00:00Z,SST,NA,17.3,numeric
1990-06-01T00:00:00Z,SST,NA,18.8,numeric
1990-07-01T00:00:00Z,SST,NA,20.91,numeric
1990-08-01T00:00:00Z,SST,NA,20.47,numeric
1990-09-01T00:00:00Z,SST,NA,21.27,numeric
1990-10-01T00:00:00Z,SST,NA,20.18,numeric
1990-11-01T00:00:00Z,SST,NA,18.28,numeric
1990-12-01T00:00:00Z,SST,NA,16.01,numeric
1991-01-01T00:00:00Z,SST,NA,14.73,numeric
1991-02-01T00:00:00Z,SST,NA,14.94,numeric
1991-03-01T00:00:00Z,SST,NA,14.5,numeric
1991-04-01T00:00:00Z,SST,NA,14.59,numeric
1991-05-01T00:00:00Z,SST,NA,14.6,numeric
1991-06-01T00:00:00Z,SST,NA,16.51,numeric
1991-07-01T00:00:00Z,SST,NA,18.27,numeric
1991-08-01T00:00:00Z,SST,NA,18.84,numeric
1991-09-01T00:00:00Z,SST,NA,18.15,numeric
1991-10-01T00:00:00Z,SST,NA,18.55,numeric
1991-11-01T00:00:00Z,SST,NA,16.22,numeric
1991-12-01T00:00:00Z,SST,NA,14.5,numeric
1992-01-01T00:00:00Z,SST,NA,14.29,numeric
1992-02-01T00:00:00Z,SST,NA,15.02,numeric
1992-03-01T00:00:00Z,SST,NA,15.56,numeric
1992-04-01T00:00:00Z,SST,NA,17.75,numeric
1992-05-01T00:00:00Z,SST,NA,18.15,numeric
1992-06-01T00:00:00Z,SST,NA,17.2,numeric
1992-07-01T00:00:00Z,SST,NA,19.93,numeric
1992-08-01T00:00:00Z,SST,NA,21.24,numeric
1992-09-01T00:00:00Z,SST,NA,20.14,numeric
1992-10-01T00:00:00Z,SST,NA,19.09,numeric
1992-11-01T00:00:00Z,SST,NA,18.14,numeric
1992-12-01T00:00:00Z,SST,NA,15.48,numeric
1993-01-01T00:00:00Z,SST,NA,14.55,numeric
1993-02-01T00:00:00Z,SST,NA,14.9,numeric
1993-03-01T00:00:00Z,SST,NA,15.44,numeric
1993-04-01T00:00:00Z,SST,NA,15.84,numeric
1993-05-01T00:00:00Z,SST,NA,17.57,numeric
1993-06-01T00:00:00Z,SST,NA,19.34,numeric
1993-07-01T00:00:00Z,SST,NA,20.39,numeric
1993-08-01T00:00:00Z,SST,NA,19.8,numeric
1993-09-01T00:00:00Z,SST,NA,19.61,numeric
1993-10-01T00:00:00Z,SST,NA,19.1,numeric
1993-11-01T00:00:00Z,SST,NA,17.63,numeric
1993-12-01T00:00:00Z,SST,NA,15.15,numeric
1994-01-01T00:00:00Z,SST,NA,14.96,numeric
1994-02-01T00:00:00Z,SST,NA,14.29,numeric
1994-03-01T00:00:00Z,SST,NA,14.76,numeric
1994-04-01T00:00:00Z,SST,NA,14.32,numeric
1994-05-01T00:00:00Z,SST,NA,15.4,numeric
1994-06-01T00:00:00Z,SST,NA,18.46,numeric
1994-07-01T00:00:00Z,SST,NA,19.17,numeric
1994-08-01T00:00:00Z,SST,NA,20.32,numeric
1994-09-01T00:00:00Z,SST,NA,19.69,numeric
1994-10-01T00:00:00Z,SST,NA,18.63,numeric
1994-11-01T00:00:00Z,SST,NA,15.78,numeric
1994-12-01T00:00:00Z,SST,NA,14.84,numeric
1995-01-01T00:00:00Z,SST,NA,14.07,numeric
1995-02-01T00:00:00Z,SST,NA,14.83,numeric
1995-03-01T00:00:00Z,SST,NA,15.08,numeric
1995-04-01T00:00:00Z,SST,NA,14.53,numeric
1995-05-01T00:00:00Z,SST,NA,14.77,numeric
1995-06-01T00:00:00Z,SST,NA,16.57,numeric
1995-07-01T00:00:00Z,SST,NA,18.49,numeric
1995-08-01T00:00:00Z,SST,NA,19.33,numeric
1995-09-01T00:00:00Z,SST,NA,19.85,numeric
1995-10-01T00:00:00Z,SST,NA,19.11,numeric
1995-11-01T00:00:00Z,SST,NA,17.01,numeric
1995-12-01T00:00:00Z,SST,NA,16.19,numeric
1996-01-01T00:00:00Z,SST,NA,15.12,numeric
1996-02-01T00:00:00Z,SST,NA,14.78,numeric
1996-03-01T00:00:00Z,SST,NA,14.1,numeric
1996-04-01T00:00:00Z,SST,NA,14.76,numeric
1996-05-01T00:00:00Z,SST,NA,17.48,numeric
1996-06-01T00:00:00Z,SST,NA,18.56,numeric
1996-07-01T00:00:00Z,SST,NA,18.41,numeric
1996-08-01T00:00:00Z,SST,NA,20.14,numeric
1996-09-01T00:00:00Z,SST,NA,20.32,numeric
1996-10-01T00:00:00Z,SST,NA,18.15,numeric
1996-11-01T00:00:00Z,SST,NA,16.02,numeric
1996-12-01T00:00:00Z,SST,NA,14.74,numeric
1997-01-01T00:00:00Z,SST,NA,14.2,numeric
1997-02-01T00:00:00Z,SST,NA,14.23,numeric
1997-03-01T00:00:00Z,SST,NA,15.08,numeric
1997-04-01T00:00:00Z,SST,NA,15.52,numeric
1997-05-01T00:00:00Z,SST,NA,18.06,numeric
1997-06-01T00:00:00Z,SST,NA,19.85,numeric
1997-11-01T00:00:00Z,SST,NA,18.86,numeric
1997-12-01T00:00:00Z,SST,NA,16.99,numeric
1998-01-01T00:00:00Z,SST,NA,16.9,numeric
1998-02-01T00:00:00Z,SST,NA,16.37,numeric
1998-03-01T00:00:00Z,SST,NA,16.01,numeric
1998-04-01T00:00:00Z,SST,NA,14.98,numeric
1998-05-01T00:00:00Z,SST,NA,16.62,numeric
1998-06-01T00:00:00Z,SST,NA,18.04,numeric
1998-07-01T00:00:00Z,SST,NA,19.42,numeric
1998-08-01T00:00:00Z,SST,NA,20.6,numeric
1998-09-01T00:00:00Z,SST,NA,20.83,numeric
1998-10-01T00:00:00Z,SST,NA,18.71,numeric
1998-11-01T00:00:00Z,SST,NA,16.75,numeric
1998-12-01T00:00:00Z,SST,NA,14.2,numeric
1999-01-01T00:00:00Z,SST,NA,14.32,numeric
1999-02-01T00:00:00Z,SST,NA,13.53,numeric
1999-03-01T00:00:00Z,SST,NA,13.66,numeric
1999-04-01T00:00:00Z,SST,NA,13.35,numeric
1999-05-01T00:00:00Z,SST,NA,15.8,numeric
1999-06-01T00:00:00Z,SST,NA,16.64,numeric
1999-07-01T00:00:00Z,SST,NA,18.45,numeric
1999-08-01T00:00:00Z,SST,NA,18.28,numeric
1999-09-01T00:00:00Z,SST,NA,17.69,numeric
1999-10-01T00:00:00Z,SST,NA,18.19,numeric
1999-11-01T00:00:00Z,SST,NA,16.87,numeric
1999-12-01T00:00:00Z,SST,NA,14.57,numeric
2000-01-01T00:00:00Z,SST,NA,14.07,numeric
2000-02-01T00:00:00Z,SST,NA,13.71,numeric
2000-03-01T00:00:00Z,SST,NA,14.06,numeric
2000-04-01T00:00:00Z,SST,NA,15.11,numeric
2000-05-01T00:00:00Z,SST,NA,16.5,numeric
2000-06-01T00:00:00Z,SST,NA,18.98,numeric
2000-07-01T00:00:00Z,SST,NA,19.69,numeric
2000-08-01T00:00:00Z,SST,NA,20.57,numeric
2000-09-01T00:00:00Z,SST,NA,20.02,numeric
2000-10-01T00:00:00Z,SST,NA,18.33,numeric
2000-11-01T00:00:00Z,SST,NA,15.94,numeric
2000-12-01T00:00:00Z,SST,NA,14.57,numeric
2001-01-01T00:00:00Z,SST,NA,13.84,numeric
2001-02-01T00:00:00Z,SST,NA,12.83,numeric
2001-03-01T00:00:00Z,SST,NA,13.98,numeric
2001-04-01T00:00:00Z,SST,NA,13.61,numeric
2001-05-01T00:00:00Z,SST,NA,16.58,numeric
2001-06-01T00:00:00Z,SST,NA,18.81,numeric
2001-07-01T00:00:00Z,SST,NA,19.01,numeric
2001-08-01T00:00:00Z,SST,NA,19.24,numeric
2001-09-01T00:00:00Z,SST,NA,19,numeric
2001-10-01T00:00:00Z,SST,NA,18.26,numeric
2001-11-01T00:00:00Z,SST,NA,17.06,numeric
2001-12-01T00:00:00Z,SST,NA,14.23,numeric
2002-01-01T00:00:00Z,SST,NA,14.28,numeric
2002-02-01T00:00:00Z,SST,NA,14.22,numeric
2002-03-01T00:00:00Z,SST,NA,14.02,numeric
2002-04-01T00:00:00Z,SST,NA,14.42,numeric
2002-05-01T00:00:00Z,SST,NA,15.92,numeric
2002-06-01T00:00:00Z,SST,NA,17.76,numeric
2002-07-01T00:00:00Z,SST,NA,19.04,numeric
2002-08-01T00:00:00Z,SST,NA,19.43,numeric
2002-09-01T00:00:00Z,SST,NA,19.03,numeric
2002-10-01T00:00:00Z,SST,NA,17.66,numeric
2002-11-01T00:00:00Z,SST,NA,16.62,numeric
2002-12-01T00:00:00Z,SST,NA,15.7,numeric
2003-01-01T00:00:00Z,SST,NA,15.64,numeric
2003-02-01T00:00:00Z,SST,NA,15.04,numeric
2003-03-01T00:00:00Z,SST,NA,14.59,numeric
2003-04-01T00:00:00Z,SST,NA,14.49,numeric
2003-05-01T00:00:00Z,SST,NA,15.3,numeric
2003-06-01T00:00:00Z,SST,NA,17.66,numeric
2003-07-01T00:00:00Z,SST,NA,19.98,numeric
2003-08-01T00:00:00Z,SST,NA,20.64,numeric
2003-09-01T00:00:00Z,SST,NA,18.54,numeric
2003-10-01T00:00:00Z,SST,NA,18.05,numeric
2003-11-01T00:00:00Z,SST,NA,15.78,numeric
2003-12-01T00:00:00Z,SST,NA,15.17,numeric
2004-01-01T00:00:00Z,SST,NA,14.18,numeric
2004-02-01T00:00:00Z,SST,NA,13.92,numeric
2004-03-01T00:00:00Z,SST,NA,14.97,numeric
2004-04-01T00:00:00Z,SST,NA,15.41,numeric
2004-05-01T00:00:00Z,SST,NA,17.89,numeric
2004-06-01T00:00:00Z,SST,NA,18.66,numeric
2004-07-01T00:00:00Z,SST,NA,19.85,numeric
2004-08-01T00:00:00Z,SST,NA,20.5,numeric
2004-09-01T00:00:00Z,SST,NA,20.93,numeric
2004-10-01T00:00:00Z,SST,NA,18.72,numeric
2004-11-01T00:00:00Z,SST,NA,17.42,numeric
2004-12-01T00:00:00Z,SST,NA,15.77,numeric
2005-01-01T00:00:00Z,SST,NA,15.28,numeric
2005-02-01T00:00:00Z,SST,NA,15.37,numeric
2005-03-01T00:00:00Z,SST,NA,15.69,numeric
2005-04-01T00:00:00Z,SST,NA,14.95,numeric
2005-05-01T00:00:00Z,SST,NA,16.99,numeric
2005-06-01T00:00:00Z,SST,NA,18.14,numeric
2005-07-01T00:00:00Z,SST,NA,18.85,numeric
2005-08-01T00:00:00Z,SST,NA,20.12,numeric
2005-09-01T00:00:00Z,SST,NA,19.63,numeric
2005-10-01T00:00:00Z,SST,NA,18.36,numeric
2005-11-01T00:00:00Z,SST,NA,16.77,numeric
2005-12-01T00:00:00Z,SST,NA,15.45,numeric
2006-01-01T00:00:00Z,SST,NA,14.2,numeric
2006-02-01T00:00:00Z,SST,NA,14.55,numeric
2006-03-01T00:00:00Z,SST,NA,13.23,numeric
2006-04-01T00:00:00Z,SST,NA,15.21,numeric
2006-05-01T00:00:00Z,SST,NA,16.9,numeric
2006-06-01T00:00:00Z,SST,NA,19.06,numeric
2006-07-01T00:00:00Z,SST,NA,21.59,numeric
2006-08-01T00:00:00Z,SST,NA,21.43,numeric
2006-09-01T00:00:00Z,SST,NA,20.04,numeric
2006-10-01T00:00:00Z,SST,NA,17.88,numeric
2006-11-01T00:00:00Z,SST,NA,17.97,numeric
2006-12-01T00:00:00Z,SST,NA,16.11,numeric
2007-01-01T00:00:00Z,SST,NA,14.72,numeric
2007-02-01T00:00:00Z,SST,NA,14.81,numeric
2007-03-01T00:00:00Z,SST,NA,14.46,numeric
2007-04-01T00:00:00Z,SST,NA,14.83,numeric
2007-05-01T00:00:00Z,SST,NA,15.56,numeric
2007-06-01T00:00:00Z,SST,NA,17.57,numeric
2007-07-01T00:00:00Z,SST,NA,20.31,numeric
2007-08-01T00:00:00Z,SST,NA,20.87,numeric
2007-09-01T00:00:00Z,SST,NA,18.64,numeric
2007-10-01T00:00:00Z,SST,NA,18.15,numeric
2007-11-01T00:00:00Z,SST,NA,16.49,numeric
2007-12-01T00:00:00Z,SST,NA,14.51,numeric
