time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,sti,NA,19,numeric
1967-01-01T00:00:00Z,latitude,NA,33,numeric
1968-01-01T00:00:00Z,sti,NA,24,numeric
1968-01-01T00:00:00Z,latitude,NA,33,numeric
1969-01-01T00:00:00Z,sti,NA,7,numeric
1969-01-01T00:00:00Z,latitude,NA,33,numeric
1970-01-01T00:00:00Z,sti,NA,10,numeric
1970-01-01T00:00:00Z,latitude,NA,33,numeric
1971-01-01T00:00:00Z,sti,NA,1,numeric
1971-01-01T00:00:00Z,latitude,NA,33,numeric
1972-01-01T00:00:00Z,sti,NA,16,numeric
1972-01-01T00:00:00Z,latitude,NA,33,numeric
1973-01-01T00:00:00Z,sti,NA,1,numeric
1973-01-01T00:00:00Z,latitude,NA,33,numeric
1974-01-01T00:00:00Z,sti,NA,16,numeric
1974-01-01T00:00:00Z,latitude,NA,33,numeric
1975-01-01T00:00:00Z,sti,NA,3,numeric
1975-01-01T00:00:00Z,latitude,NA,33,numeric
1976-01-01T00:00:00Z,sti,NA,22,numeric
1976-01-01T00:00:00Z,latitude,NA,33,numeric
1977-01-01T00:00:00Z,sti,NA,2,numeric
1977-01-01T00:00:00Z,latitude,NA,33,numeric
1978-01-01T00:00:00Z,sti,NA,16,numeric
1978-01-01T00:00:00Z,latitude,NA,33,numeric
1979-01-01T00:00:00Z,sti,NA,8,numeric
1979-01-01T00:00:00Z,latitude,NA,33,numeric
1980-01-01T00:00:00Z,sti,NA,48,numeric
1980-01-01T00:00:00Z,latitude,NA,33,numeric
1981-01-01T00:00:00Z,sti,NA,23,numeric
1981-01-01T00:00:00Z,latitude,NA,33,numeric
1982-01-01T00:00:00Z,sti,NA,11,numeric
1982-01-01T00:00:00Z,latitude,NA,33,numeric
1983-01-01T00:00:00Z,sti,NA,35,numeric
1983-01-01T00:00:00Z,latitude,NA,33,numeric
1984-01-01T00:00:00Z,sti,NA,5,numeric
1984-01-01T00:00:00Z,latitude,NA,33,numeric
1985-01-01T00:00:00Z,sti,NA,7,numeric
1985-01-01T00:00:00Z,latitude,NA,33,numeric
1986-01-01T00:00:00Z,sti,NA,13,numeric
1986-01-01T00:00:00Z,latitude,NA,33,numeric
1987-01-01T00:00:00Z,sti,NA,1,numeric
1987-01-01T00:00:00Z,latitude,NA,33,numeric
1988-01-01T00:00:00Z,sti,NA,5,numeric
1988-01-01T00:00:00Z,latitude,NA,33,numeric
1989-01-01T00:00:00Z,sti,NA,3,numeric
1989-01-01T00:00:00Z,latitude,NA,33,numeric
1990-01-01T00:00:00Z,sti,NA,1,numeric
1990-01-01T00:00:00Z,latitude,NA,33,numeric
1991-01-01T00:00:00Z,sti,NA,6,numeric
1991-01-01T00:00:00Z,latitude,NA,33,numeric
1992-01-01T00:00:00Z,sti,NA,5,numeric
1992-01-01T00:00:00Z,latitude,NA,33,numeric
1993-01-01T00:00:00Z,sti,NA,18,numeric
1993-01-01T00:00:00Z,latitude,NA,33,numeric
1994-01-01T00:00:00Z,sti,NA,1,numeric
1994-01-01T00:00:00Z,latitude,NA,33,numeric
1995-01-01T00:00:00Z,sti,NA,25,numeric
1995-01-01T00:00:00Z,latitude,NA,33,numeric
1996-01-01T00:00:00Z,sti,NA,1,numeric
1996-01-01T00:00:00Z,latitude,NA,33,numeric
1997-01-01T00:00:00Z,sti,NA,1,numeric
1997-01-01T00:00:00Z,latitude,NA,33,numeric
1998-01-01T00:00:00Z,sti,NA,39,numeric
1998-01-01T00:00:00Z,latitude,NA,33,numeric
1999-01-01T00:00:00Z,sti,NA,11,numeric
1999-01-01T00:00:00Z,latitude,NA,33,numeric
2000-01-01T00:00:00Z,sti,NA,1,numeric
2000-01-01T00:00:00Z,latitude,NA,33,numeric
2001-01-01T00:00:00Z,sti,NA,6,numeric
2001-01-01T00:00:00Z,latitude,NA,33,numeric
2002-01-01T00:00:00Z,sti,NA,7,numeric
2002-01-01T00:00:00Z,latitude,NA,33,numeric
2003-01-01T00:00:00Z,sti,NA,44,numeric
2003-01-01T00:00:00Z,latitude,NA,33,numeric
2004-01-01T00:00:00Z,sti,NA,14,numeric
2004-01-01T00:00:00Z,latitude,NA,33,numeric
2005-01-01T00:00:00Z,sti,NA,10,numeric
2005-01-01T00:00:00Z,latitude,NA,33,numeric
2006-01-01T00:00:00Z,sti,NA,1,numeric
2006-01-01T00:00:00Z,latitude,NA,33,numeric
2007-01-01T00:00:00Z,sti,NA,2,numeric
2007-01-01T00:00:00Z,latitude,NA,33,numeric
2008-01-01T00:00:00Z,sti,NA,27,numeric
2008-01-01T00:00:00Z,latitude,NA,33,numeric
2009-01-01T00:00:00Z,sti,NA,1,numeric
2009-01-01T00:00:00Z,latitude,NA,33,numeric
2010-01-01T00:00:00Z,sti,NA,21,numeric
2010-01-01T00:00:00Z,latitude,NA,33,numeric
2011-01-01T00:00:00Z,sti,NA,6,numeric
2011-01-01T00:00:00Z,latitude,NA,33,numeric
2012-01-01T00:00:00Z,sti,NA,1,numeric
2012-01-01T00:00:00Z,latitude,NA,33,numeric
2013-01-01T00:00:00Z,sti,NA,4,numeric
2013-01-01T00:00:00Z,latitude,NA,33,numeric
2014-01-01T00:00:00Z,sti,NA,6,numeric
2014-01-01T00:00:00Z,latitude,NA,33,numeric
2015-01-01T00:00:00Z,sti,NA,29,numeric
2015-01-01T00:00:00Z,latitude,NA,33,numeric
2016-01-01T00:00:00Z,sti,NA,5,numeric
2016-01-01T00:00:00Z,latitude,NA,33,numeric
2017-01-01T00:00:00Z,sti,NA,1,numeric
2017-01-01T00:00:00Z,latitude,NA,33,numeric
2018-01-01T00:00:00Z,sti,NA,1,numeric
2018-01-01T00:00:00Z,latitude,NA,33,numeric
2019-01-01T00:00:00Z,sti,NA,16,numeric
2019-01-01T00:00:00Z,latitude,NA,33,numeric
