time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,tumi,NA,37186.863,numeric
1967-01-01T00:00:00Z,latitude,NA,33,numeric
1968-01-01T00:00:00Z,tumi,NA,44175.824,numeric
1968-01-01T00:00:00Z,latitude,NA,33,numeric
1969-01-01T00:00:00Z,tumi,NA,43032.57,numeric
1969-01-01T00:00:00Z,latitude,NA,33,numeric
1970-01-01T00:00:00Z,tumi,NA,42329.363,numeric
1970-01-01T00:00:00Z,latitude,NA,33,numeric
1971-01-01T00:00:00Z,tumi,NA,46146.383,numeric
1971-01-01T00:00:00Z,latitude,NA,33,numeric
1972-01-01T00:00:00Z,tumi,NA,31154.55,numeric
1972-01-01T00:00:00Z,latitude,NA,33,numeric
1973-01-01T00:00:00Z,tumi,NA,34750.633,numeric
1973-01-01T00:00:00Z,latitude,NA,33,numeric
1974-01-01T00:00:00Z,tumi,NA,29424.744,numeric
1974-01-01T00:00:00Z,latitude,NA,33,numeric
1975-01-01T00:00:00Z,tumi,NA,36598.45,numeric
1975-01-01T00:00:00Z,latitude,NA,33,numeric
1976-01-01T00:00:00Z,tumi,NA,25943.31,numeric
1976-01-01T00:00:00Z,latitude,NA,33,numeric
1977-01-01T00:00:00Z,tumi,NA,30208.098,numeric
1977-01-01T00:00:00Z,latitude,NA,33,numeric
1978-01-01T00:00:00Z,tumi,NA,24007.768,numeric
1978-01-01T00:00:00Z,latitude,NA,33,numeric
1979-01-01T00:00:00Z,tumi,NA,37378.3,numeric
1979-01-01T00:00:00Z,latitude,NA,33,numeric
1980-01-01T00:00:00Z,tumi,NA,40067.26,numeric
1980-01-01T00:00:00Z,latitude,NA,33,numeric
1981-01-01T00:00:00Z,tumi,NA,19494.91,numeric
1981-01-01T00:00:00Z,latitude,NA,33,numeric
1982-01-01T00:00:00Z,tumi,NA,19065.15,numeric
1982-01-01T00:00:00Z,latitude,NA,33,numeric
1983-01-01T00:00:00Z,tumi,NA,21067.615,numeric
1983-01-01T00:00:00Z,latitude,NA,33,numeric
1984-01-01T00:00:00Z,tumi,NA,28406.703,numeric
1984-01-01T00:00:00Z,latitude,NA,33,numeric
1985-01-01T00:00:00Z,tumi,NA,23914.88,numeric
1985-01-01T00:00:00Z,latitude,NA,33,numeric
1986-01-01T00:00:00Z,tumi,NA,21268.406,numeric
1986-01-01T00:00:00Z,latitude,NA,33,numeric
1987-01-01T00:00:00Z,tumi,NA,22740.64,numeric
1987-01-01T00:00:00Z,latitude,NA,33,numeric
1988-01-01T00:00:00Z,tumi,NA,24984.55,numeric
1988-01-01T00:00:00Z,latitude,NA,33,numeric
1989-01-01T00:00:00Z,tumi,NA,24893.594,numeric
1989-01-01T00:00:00Z,latitude,NA,33,numeric
1990-01-01T00:00:00Z,tumi,NA,25895.615,numeric
1990-01-01T00:00:00Z,latitude,NA,33,numeric
1991-01-01T00:00:00Z,tumi,NA,26553.73,numeric
1991-01-01T00:00:00Z,latitude,NA,33,numeric
1992-01-01T00:00:00Z,tumi,NA,21295.312,numeric
1992-01-01T00:00:00Z,latitude,NA,33,numeric
1993-01-01T00:00:00Z,tumi,NA,21878.695,numeric
1993-01-01T00:00:00Z,latitude,NA,33,numeric
1994-01-01T00:00:00Z,tumi,NA,28018.543,numeric
1994-01-01T00:00:00Z,latitude,NA,33,numeric
1995-01-01T00:00:00Z,tumi,NA,23771.918,numeric
1995-01-01T00:00:00Z,latitude,NA,33,numeric
1996-01-01T00:00:00Z,tumi,NA,27353.068,numeric
1996-01-01T00:00:00Z,latitude,NA,33,numeric
1997-01-01T00:00:00Z,tumi,NA,27261.209,numeric
1997-01-01T00:00:00Z,latitude,NA,33,numeric
1998-01-01T00:00:00Z,tumi,NA,23028.102,numeric
1998-01-01T00:00:00Z,latitude,NA,33,numeric
1999-01-01T00:00:00Z,tumi,NA,33833.023,numeric
1999-01-01T00:00:00Z,latitude,NA,33,numeric
2000-01-01T00:00:00Z,tumi,NA,26640.16,numeric
2000-01-01T00:00:00Z,latitude,NA,33,numeric
2001-01-01T00:00:00Z,tumi,NA,28114.217,numeric
2001-01-01T00:00:00Z,latitude,NA,33,numeric
2002-01-01T00:00:00Z,tumi,NA,30482.078,numeric
2002-01-01T00:00:00Z,latitude,NA,33,numeric
2003-01-01T00:00:00Z,tumi,NA,29004.508,numeric
2003-01-01T00:00:00Z,latitude,NA,33,numeric
2004-01-01T00:00:00Z,tumi,NA,19164.045,numeric
2004-01-01T00:00:00Z,latitude,NA,33,numeric
2005-01-01T00:00:00Z,tumi,NA,23720.361,numeric
2005-01-01T00:00:00Z,latitude,NA,33,numeric
2006-01-01T00:00:00Z,tumi,NA,26928.799,numeric
2006-01-01T00:00:00Z,latitude,NA,33,numeric
2007-01-01T00:00:00Z,tumi,NA,30311.27,numeric
2007-01-01T00:00:00Z,latitude,NA,33,numeric
2008-01-01T00:00:00Z,tumi,NA,26230.271,numeric
2008-01-01T00:00:00Z,latitude,NA,33,numeric
2009-01-01T00:00:00Z,tumi,NA,27876.615,numeric
2009-01-01T00:00:00Z,latitude,NA,33,numeric
2010-01-01T00:00:00Z,tumi,NA,34885.64,numeric
2010-01-01T00:00:00Z,latitude,NA,33,numeric
2011-01-01T00:00:00Z,tumi,NA,30520.734,numeric
2011-01-01T00:00:00Z,latitude,NA,33,numeric
2012-01-01T00:00:00Z,tumi,NA,36684.863,numeric
2012-01-01T00:00:00Z,latitude,NA,33,numeric
2013-01-01T00:00:00Z,tumi,NA,36414.145,numeric
2013-01-01T00:00:00Z,latitude,NA,33,numeric
2014-01-01T00:00:00Z,tumi,NA,27972.871,numeric
2014-01-01T00:00:00Z,latitude,NA,33,numeric
2015-01-01T00:00:00Z,tumi,NA,28843.02,numeric
2015-01-01T00:00:00Z,latitude,NA,33,numeric
2016-01-01T00:00:00Z,tumi,NA,34900.285,numeric
2016-01-01T00:00:00Z,latitude,NA,33,numeric
2017-01-01T00:00:00Z,tumi,NA,38019.043,numeric
2017-01-01T00:00:00Z,latitude,NA,33,numeric
2018-01-01T00:00:00Z,tumi,NA,37428.723,numeric
2018-01-01T00:00:00Z,latitude,NA,33,numeric
2019-01-01T00:00:00Z,tumi,NA,33693.17,numeric
2019-01-01T00:00:00Z,latitude,NA,33,numeric
2020-01-01T00:00:00Z,tumi,NA,33049.445,numeric
2020-01-01T00:00:00Z,latitude,NA,33,numeric
1967-01-01T00:00:00Z,tumi,NA,23865.494,numeric
1967-01-01T00:00:00Z,latitude,NA,36,numeric
1968-01-01T00:00:00Z,tumi,NA,35592.336,numeric
1968-01-01T00:00:00Z,latitude,NA,36,numeric
1969-01-01T00:00:00Z,tumi,NA,30120.035,numeric
1969-01-01T00:00:00Z,latitude,NA,36,numeric
1970-01-01T00:00:00Z,tumi,NA,27944.736,numeric
1970-01-01T00:00:00Z,latitude,NA,36,numeric
1971-01-01T00:00:00Z,tumi,NA,30878.512,numeric
1971-01-01T00:00:00Z,latitude,NA,36,numeric
1972-01-01T00:00:00Z,tumi,NA,23530.188,numeric
1972-01-01T00:00:00Z,latitude,NA,36,numeric
1973-01-01T00:00:00Z,tumi,NA,32271.104,numeric
1973-01-01T00:00:00Z,latitude,NA,36,numeric
1974-01-01T00:00:00Z,tumi,NA,32559.51,numeric
1974-01-01T00:00:00Z,latitude,NA,36,numeric
1975-01-01T00:00:00Z,tumi,NA,34222.242,numeric
1975-01-01T00:00:00Z,latitude,NA,36,numeric
1976-01-01T00:00:00Z,tumi,NA,24186.688,numeric
1976-01-01T00:00:00Z,latitude,NA,36,numeric
1977-01-01T00:00:00Z,tumi,NA,25533.326,numeric
