time,variable,value_character,value_numeric,value_type
1967-01-01T00:00:00Z,upwelling_index,NA,-146.8245,numeric
1967-01-01T00:00:00Z,nobs,NA,124,numeric
1967-01-01T00:00:00Z,stdev,NA,232.847,numeric
1967-02-01T00:00:00Z,upwelling_index,NA,-34.0083,numeric
1967-02-01T00:00:00Z,nobs,NA,112,numeric
1967-02-01T00:00:00Z,stdev,NA,88.095,numeric
1967-03-01T00:00:00Z,upwelling_index,NA,-75.6572,numeric
1967-03-01T00:00:00Z,nobs,NA,124,numeric
1967-03-01T00:00:00Z,stdev,NA,219.64,numeric
1967-04-01T00:00:00Z,upwelling_index,NA,2.735,numeric
1967-04-01T00:00:00Z,nobs,NA,120,numeric
1967-04-01T00:00:00Z,stdev,NA,37.77,numeric
1967-05-01T00:00:00Z,upwelling_index,NA,68.0247,numeric
1967-05-01T00:00:00Z,nobs,NA,124,numeric
1967-05-01T00:00:00Z,stdev,NA,77.205,numeric
1967-06-01T00:00:00Z,upwelling_index,NA,79.9463,numeric
1967-06-01T00:00:00Z,nobs,NA,120,numeric
1967-06-01T00:00:00Z,stdev,NA,66.745,numeric
1967-07-01T00:00:00Z,upwelling_index,NA,93.0324,numeric
1967-07-01T00:00:00Z,nobs,NA,124,numeric
1967-07-01T00:00:00Z,stdev,NA,77.816,numeric
1967-08-01T00:00:00Z,upwelling_index,NA,66.287,numeric
1967-08-01T00:00:00Z,nobs,NA,124,numeric
1967-08-01T00:00:00Z,stdev,NA,57.812,numeric
1967-09-01T00:00:00Z,upwelling_index,NA,21.772,numeric
1967-09-01T00:00:00Z,nobs,NA,120,numeric
1967-09-01T00:00:00Z,stdev,NA,52.435,numeric
1967-10-01T00:00:00Z,upwelling_index,NA,-96.9876,numeric
1967-10-01T00:00:00Z,nobs,NA,124,numeric
1967-10-01T00:00:00Z,stdev,NA,150.767,numeric
1967-11-01T00:00:00Z,upwelling_index,NA,-54.5657,numeric
1967-11-01T00:00:00Z,nobs,NA,120,numeric
1967-11-01T00:00:00Z,stdev,NA,105.795,numeric
1967-12-01T00:00:00Z,upwelling_index,NA,-188.1233,numeric
1967-12-01T00:00:00Z,nobs,NA,124,numeric
1967-12-01T00:00:00Z,stdev,NA,471.506,numeric
1968-01-01T00:00:00Z,upwelling_index,NA,-244.3171,numeric
1968-01-01T00:00:00Z,nobs,NA,124,numeric
1968-01-01T00:00:00Z,stdev,NA,451.881,numeric
1968-02-01T00:00:00Z,upwelling_index,NA,-177.4093,numeric
1968-02-01T00:00:00Z,nobs,NA,116,numeric
1968-02-01T00:00:00Z,stdev,NA,262.355,numeric
1968-03-01T00:00:00Z,upwelling_index,NA,-67.2446,numeric
1968-03-01T00:00:00Z,nobs,NA,124,numeric
1968-03-01T00:00:00Z,stdev,NA,131.233,numeric
1968-04-01T00:00:00Z,upwelling_index,NA,47.3943,numeric
1968-04-01T00:00:00Z,nobs,NA,120,numeric
1968-04-01T00:00:00Z,stdev,NA,73.338,numeric
1968-05-01T00:00:00Z,upwelling_index,NA,47.4471,numeric
1968-05-01T00:00:00Z,nobs,NA,124,numeric
1968-05-01T00:00:00Z,stdev,NA,76.634,numeric
1968-06-01T00:00:00Z,upwelling_index,NA,59.4516,numeric
1968-06-01T00:00:00Z,nobs,NA,120,numeric
1968-06-01T00:00:00Z,stdev,NA,76.505,numeric
1968-07-01T00:00:00Z,upwelling_index,NA,81.7683,numeric
1968-07-01T00:00:00Z,nobs,NA,124,numeric
1968-07-01T00:00:00Z,stdev,NA,70.669,numeric
1968-08-01T00:00:00Z,upwelling_index,NA,28.4139,numeric
1968-08-01T00:00:00Z,nobs,NA,123,numeric
1968-08-01T00:00:00Z,stdev,NA,50.315,numeric
1968-09-01T00:00:00Z,upwelling_index,NA,22.8802,numeric
1968-09-01T00:00:00Z,nobs,NA,120,numeric
1968-09-01T00:00:00Z,stdev,NA,48.181,numeric
1968-10-01T00:00:00Z,upwelling_index,NA,-55.5788,numeric
1968-10-01T00:00:00Z,nobs,NA,123,numeric
1968-10-01T00:00:00Z,stdev,NA,119.518,numeric
1968-11-01T00:00:00Z,upwelling_index,NA,-164.0212,numeric
1968-11-01T00:00:00Z,nobs,NA,120,numeric
1968-11-01T00:00:00Z,stdev,NA,214.94,numeric
1968-12-01T00:00:00Z,upwelling_index,NA,-233.8984,numeric
1968-12-01T00:00:00Z,nobs,NA,124,numeric
1968-12-01T00:00:00Z,stdev,NA,450.173,numeric
1969-01-01T00:00:00Z,upwelling_index,NA,-81.4231,numeric
1969-01-01T00:00:00Z,nobs,NA,123,numeric
1969-01-01T00:00:00Z,stdev,NA,143.984,numeric
1969-02-01T00:00:00Z,upwelling_index,NA,-148.7355,numeric
1969-02-01T00:00:00Z,nobs,NA,112,numeric
1969-02-01T00:00:00Z,stdev,NA,254.23,numeric
1969-03-01T00:00:00Z,upwelling_index,NA,-14.325,numeric
1969-03-01T00:00:00Z,nobs,NA,124,numeric
1969-03-01T00:00:00Z,stdev,NA,91.033,numeric
1969-04-01T00:00:00Z,upwelling_index,NA,-33.4305,numeric
1969-04-01T00:00:00Z,nobs,NA,120,numeric
1969-04-01T00:00:00Z,stdev,NA,113.558,numeric
1969-05-01T00:00:00Z,upwelling_index,NA,23.1753,numeric
1969-05-01T00:00:00Z,nobs,NA,123,numeric
1969-05-01T00:00:00Z,stdev,NA,63.224,numeric
