time,variable,value_character,value_numeric,value_type
1981-04-01T00:00:00Z,vwnd,NA,-6.61724,numeric
1981-05-01T00:00:00Z,vwnd,NA,-6.64568,numeric
1981-06-01T00:00:00Z,vwnd,NA,-6.25411,numeric
1981-07-01T00:00:00Z,vwnd,NA,-5.74057,numeric
1981-08-01T00:00:00Z,vwnd,NA,-5.24544,numeric
1981-09-01T00:00:00Z,vwnd,NA,-4.50389,numeric
1981-10-01T00:00:00Z,vwnd,NA,-1.00879,numeric
1981-11-01T00:00:00Z,vwnd,NA,2.20139,numeric
1981-12-01T00:00:00Z,vwnd,NA,1.41293,numeric
1982-01-01T00:00:00Z,vwnd,NA,-2.17326,numeric
1982-02-01T00:00:00Z,vwnd,NA,-3.64665,numeric
1982-03-01T00:00:00Z,vwnd,NA,-0.14681,numeric
1982-04-01T00:00:00Z,vwnd,NA,-1.44103,numeric
1982-05-01T00:00:00Z,vwnd,NA,-7.22959,numeric
1982-06-01T00:00:00Z,vwnd,NA,-2.72312,numeric
1982-07-01T00:00:00Z,vwnd,NA,-5.6754,numeric
1982-08-01T00:00:00Z,vwnd,NA,-3.57314,numeric
1982-09-01T00:00:00Z,vwnd,NA,-4.75251,numeric
1982-10-01T00:00:00Z,vwnd,NA,-0.48452,numeric
1982-11-01T00:00:00Z,vwnd,NA,0.46011,numeric
1982-12-01T00:00:00Z,vwnd,NA,1.6716,numeric
1983-01-01T00:00:00Z,vwnd,NA,2.4157,numeric
1983-02-01T00:00:00Z,vwnd,NA,5.34209,numeric
1983-03-01T00:00:00Z,vwnd,NA,3.98954,numeric
1983-04-01T00:00:00Z,vwnd,NA,-2.04437,numeric
1983-05-01T00:00:00Z,vwnd,NA,-4.76151,numeric
1983-06-01T00:00:00Z,vwnd,NA,-6.57372,numeric
1983-07-01T00:00:00Z,vwnd,NA,-6.93117,numeric
1983-08-01T00:00:00Z,vwnd,NA,-2.96934,numeric
1983-09-01T00:00:00Z,vwnd,NA,-3.84595,numeric
1983-10-01T00:00:00Z,vwnd,NA,-2.10352,numeric
1983-11-01T00:00:00Z,vwnd,NA,1.22065,numeric
1983-12-01T00:00:00Z,vwnd,NA,0.5452,numeric
1984-01-01T00:00:00Z,vwnd,NA,-1.15828,numeric
1984-02-01T00:00:00Z,vwnd,NA,0.6619,numeric
1984-03-01T00:00:00Z,vwnd,NA,-1.75413,numeric
1984-04-01T00:00:00Z,vwnd,NA,-4.08328,numeric
1984-07-01T00:00:00Z,vwnd,NA,-4.48677,numeric
1984-08-01T00:00:00Z,vwnd,NA,-5.24709,numeric
1984-09-01T00:00:00Z,vwnd,NA,-5.02176,numeric
1984-10-01T00:00:00Z,vwnd,NA,-2.0568,numeric
1984-11-01T00:00:00Z,vwnd,NA,2.08174,numeric
