time,variable,value_character,value_type,value_numeric
1970-01-01T00:00:00Z,population,LowerCR,character,NA
1971-01-01T00:00:00Z,population,LowerCR,character,NA
1972-01-01T00:00:00Z,population,LowerCR,character,NA
1973-01-01T00:00:00Z,population,LowerCR,character,NA
1974-01-01T00:00:00Z,population,LowerCR,character,NA
1975-01-01T00:00:00Z,population,LowerCR,character,NA
1976-01-01T00:00:00Z,population,LowerCR,character,NA
1977-01-01T00:00:00Z,population,LowerCR,character,NA
1978-01-01T00:00:00Z,population,LowerCR,character,NA
1979-01-01T00:00:00Z,population,LowerCR,character,NA
1980-01-01T00:00:00Z,population,LowerCR,character,NA
1981-01-01T00:00:00Z,population,LowerCR,character,NA
1982-01-01T00:00:00Z,population,LowerCR,character,NA
1983-01-01T00:00:00Z,population,LowerCR,character,NA
1984-01-01T00:00:00Z,population,LowerCR,character,NA
1985-01-01T00:00:00Z,population,LowerCR,character,NA
1986-01-01T00:00:00Z,population,LowerCR,character,NA
1987-01-01T00:00:00Z,population,LowerCR,character,NA
1988-01-01T00:00:00Z,population,LowerCR,character,NA
1989-01-01T00:00:00Z,population,LowerCR,character,NA
1990-01-01T00:00:00Z,population,LowerCR,character,NA
1991-01-01T00:00:00Z,population,LowerCR,character,NA
1992-01-01T00:00:00Z,population,LowerCR,character,NA
1993-01-01T00:00:00Z,population,LowerCR,character,NA
1994-01-01T00:00:00Z,population,LowerCR,character,NA
1995-01-01T00:00:00Z,population,LowerCR,character,NA
1996-01-01T00:00:00Z,population,LowerCR,character,NA
1997-01-01T00:00:00Z,population,LowerCR,character,NA
1998-01-01T00:00:00Z,population,LowerCR,character,NA
1999-01-01T00:00:00Z,population,LowerCR,character,NA
2000-01-01T00:00:00Z,population,LowerCR,character,NA
2001-01-01T00:00:00Z,population,LowerCR,character,NA
2002-01-01T00:00:00Z,population,LowerCR,character,NA
2003-01-01T00:00:00Z,population,LowerCR,character,NA
2004-01-01T00:00:00Z,population,LowerCR,character,NA
2005-01-01T00:00:00Z,population,LowerCR,character,NA
2006-01-01T00:00:00Z,population,LowerCR,character,NA
2007-01-01T00:00:00Z,population,LowerCR,character,NA
2008-01-01T00:00:00Z,population,LowerCR,character,NA
2009-01-01T00:00:00Z,population,LowerCR,character,NA
2010-01-01T00:00:00Z,population,LowerCR,character,NA
2011-01-01T00:00:00Z,population,LowerCR,character,NA
2012-01-01T00:00:00Z,population,LowerCR,character,NA
2013-01-01T00:00:00Z,population,LowerCR,character,NA
2014-01-01T00:00:00Z,population,LowerCR,character,NA
1975-01-01T00:00:00Z,population,SnakeFall,character,NA
1976-01-01T00:00:00Z,population,SnakeFall,character,NA
1977-01-01T00:00:00Z,population,SnakeFall,character,NA
1978-01-01T00:00:00Z,population,SnakeFall,character,NA
1979-01-01T00:00:00Z,population,SnakeFall,character,NA
1980-01-01T00:00:00Z,population,SnakeFall,character,NA
1981-01-01T00:00:00Z,population,SnakeFall,character,NA
1982-01-01T00:00:00Z,population,SnakeFall,character,NA
1983-01-01T00:00:00Z,population,SnakeFall,character,NA
1984-01-01T00:00:00Z,population,SnakeFall,character,NA
1985-01-01T00:00:00Z,population,SnakeFall,character,NA
1986-01-01T00:00:00Z,population,SnakeFall,character,NA
1987-01-01T00:00:00Z,population,SnakeFall,character,NA
1988-01-01T00:00:00Z,population,SnakeFall,character,NA
1989-01-01T00:00:00Z,population,SnakeFall,character,NA
1990-01-01T00:00:00Z,population,SnakeFall,character,NA
1991-01-01T00:00:00Z,population,SnakeFall,character,NA
1992-01-01T00:00:00Z,population,SnakeFall,character,NA
1993-01-01T00:00:00Z,population,SnakeFall,character,NA
1994-01-01T00:00:00Z,population,SnakeFall,character,NA
1995-01-01T00:00:00Z,population,SnakeFall,character,NA
1996-01-01T00:00:00Z,population,SnakeFall,character,NA
1997-01-01T00:00:00Z,population,SnakeFall,character,NA
1998-01-01T00:00:00Z,population,SnakeFall,character,NA
1999-01-01T00:00:00Z,population,SnakeFall,character,NA
2000-01-01T00:00:00Z,population,SnakeFall,character,NA
2001-01-01T00:00:00Z,population,SnakeFall,character,NA
2002-01-01T00:00:00Z,population,SnakeFall,character,NA
2003-01-01T00:00:00Z,population,SnakeFall,character,NA
2004-01-01T00:00:00Z,population,SnakeFall,character,NA
2005-01-01T00:00:00Z,population,SnakeFall,character,NA
2006-01-01T00:00:00Z,population,SnakeFall,character,NA
2007-01-01T00:00:00Z,population,SnakeFall,character,NA
2008-01-01T00:00:00Z,population,SnakeFall,character,NA
2009-01-01T00:00:00Z,population,SnakeFall,character,NA
2010-01-01T00:00:00Z,population,SnakeFall,character,NA
2011-01-01T00:00:00Z,population,SnakeFall,character,NA
2012-01-01T00:00:00Z,population,SnakeFall,character,NA
2013-01-01T00:00:00Z,population,SnakeFall,character,NA
2014-01-01T00:00:00Z,population,SnakeFall,character,NA
1970-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1971-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1972-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1973-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1974-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1975-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1976-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1977-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1978-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1979-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1980-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1981-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1982-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1983-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1984-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1985-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1986-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1987-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1988-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1989-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1990-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1991-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1992-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1993-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1994-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1995-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1996-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1997-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1998-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1999-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2000-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2001-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2002-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2003-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2004-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2005-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2006-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2007-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2008-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2009-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2010-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2011-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2012-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2013-01-01T00:00:00Z,population,SnakeSpSu,character,NA
2014-01-01T00:00:00Z,population,SnakeSpSu,character,NA
1970-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1971-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1972-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1973-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1974-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1975-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1976-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1977-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1978-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1979-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1980-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1981-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1982-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1983-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1984-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1985-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1986-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1987-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1988-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1989-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1990-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1991-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1992-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1993-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1994-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1995-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1996-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1997-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1998-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1999-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2000-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2001-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2002-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2003-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2004-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2005-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2006-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2007-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2008-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2009-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2010-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2011-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2012-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2013-01-01T00:00:00Z,population,UpperCRSpr,character,NA
2014-01-01T00:00:00Z,population,UpperCRSpr,character,NA
1970-01-01T00:00:00Z,population,Willamette,character,NA
1971-01-01T00:00:00Z,population,Willamette,character,NA
1972-01-01T00:00:00Z,population,Willamette,character,NA
1973-01-01T00:00:00Z,population,Willamette,character,NA
1974-01-01T00:00:00Z,population,Willamette,character,NA
1975-01-01T00:00:00Z,population,Willamette,character,NA
1976-01-01T00:00:00Z,population,Willamette,character,NA
1977-01-01T00:00:00Z,population,Willamette,character,NA
1978-01-01T00:00:00Z,population,Willamette,character,NA
1979-01-01T00:00:00Z,population,Willamette,character,NA
1980-01-01T00:00:00Z,population,Willamette,character,NA
1981-01-01T00:00:00Z,population,Willamette,character,NA
1982-01-01T00:00:00Z,population,Willamette,character,NA
1983-01-01T00:00:00Z,population,Willamette,character,NA
1984-01-01T00:00:00Z,population,Willamette,character,NA
1985-01-01T00:00:00Z,population,Willamette,character,NA
1986-01-01T00:00:00Z,population,Willamette,character,NA
1987-01-01T00:00:00Z,population,Willamette,character,NA
1988-01-01T00:00:00Z,population,Willamette,character,NA
1989-01-01T00:00:00Z,population,Willamette,character,NA
1990-01-01T00:00:00Z,population,Willamette,character,NA
1991-01-01T00:00:00Z,population,Willamette,character,NA
1992-01-01T00:00:00Z,population,Willamette,character,NA
1993-01-01T00:00:00Z,population,Willamette,character,NA
1994-01-01T00:00:00Z,population,Willamette,character,NA
1995-01-01T00:00:00Z,population,Willamette,character,NA
1996-01-01T00:00:00Z,population,Willamette,character,NA
1997-01-01T00:00:00Z,population,Willamette,character,NA
1998-01-01T00:00:00Z,population,Willamette,character,NA
1999-01-01T00:00:00Z,population,Willamette,character,NA
2000-01-01T00:00:00Z,population,Willamette,character,NA
2001-01-01T00:00:00Z,population,Willamette,character,NA
2002-01-01T00:00:00Z,population,Willamette,character,NA
2003-01-01T00:00:00Z,population,Willamette,character,NA
2004-01-01T00:00:00Z,population,Willamette,character,NA
2005-01-01T00:00:00Z,population,Willamette,character,NA
2006-01-01T00:00:00Z,population,Willamette,character,NA
2007-01-01T00:00:00Z,population,Willamette,character,NA
2008-01-01T00:00:00Z,population,Willamette,character,NA
2009-01-01T00:00:00Z,population,Willamette,character,NA
2010-01-01T00:00:00Z,population,Willamette,character,NA
2011-01-01T00:00:00Z,population,Willamette,character,NA
2012-01-01T00:00:00Z,population,Willamette,character,NA
2013-01-01T00:00:00Z,population,Willamette,character,NA
2014-01-01T00:00:00Z,population,Willamette,character,NA
1970-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1970-01-01T00:00:00Z,cond_age_div,NA,numeric,1.123377
1971-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1971-01-01T00:00:00Z,cond_age_div,NA,numeric,0.9024344
1972-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1972-01-01T00:00:00Z,cond_age_div,NA,numeric,0.96261126
1973-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1973-01-01T00:00:00Z,cond_age_div,NA,numeric,1.1317825
1974-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1974-01-01T00:00:00Z,cond_age_div,NA,numeric,1.0845864
1975-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0
1975-01-01T00:00:00Z,cond_age_div,NA,numeric,1.1024356
1976-01-01T00:00:00Z,cond_pct_nat,NA,numeric,15.632804
1976-01-01T00:00:00Z,cond_age_div,NA,numeric,1.003581
1977-01-01T00:00:00Z,cond_pct_nat,NA,numeric,25.4308
1977-01-01T00:00:00Z,cond_age_div,NA,numeric,1.111972
1978-01-01T00:00:00Z,cond_pct_nat,NA,numeric,21.566563
1978-01-01T00:00:00Z,cond_age_div,NA,numeric,1.0420384
1979-01-01T00:00:00Z,cond_pct_nat,NA,numeric,21.5569
1979-01-01T00:00:00Z,cond_age_div,NA,numeric,1.0220131
1980-01-01T00:00:00Z,cond_pct_nat,NA,numeric,29.713419
1980-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.4711894
1980-01-01T00:00:00Z,cond_age_div,NA,numeric,1.1371833
1981-01-01T00:00:00Z,cond_pct_nat,NA,numeric,23.013
1981-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.91136664
1981-01-01T00:00:00Z,cond_age_div,NA,numeric,1.0473589
1982-01-01T00:00:00Z,cond_pct_nat,NA,numeric,37.61879
1982-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.0005888
1982-01-01T00:00:00Z,cond_age_div,NA,numeric,1.1150209
1983-01-01T00:00:00Z,cond_pct_nat,NA,numeric,29.618244
