time,variable,value_character,value_type,value_numeric
1974-01-01T00:00:00Z,population,LowerCR,character,NA
1975-01-01T00:00:00Z,population,LowerCR,character,NA
1976-01-01T00:00:00Z,population,LowerCR,character,NA
1977-01-01T00:00:00Z,population,LowerCR,character,NA
1978-01-01T00:00:00Z,population,LowerCR,character,NA
1979-01-01T00:00:00Z,population,LowerCR,character,NA
1980-01-01T00:00:00Z,population,LowerCR,character,NA
1981-01-01T00:00:00Z,population,LowerCR,character,NA
1982-01-01T00:00:00Z,population,LowerCR,character,NA
1983-01-01T00:00:00Z,population,LowerCR,character,NA
1984-01-01T00:00:00Z,population,LowerCR,character,NA
1985-01-01T00:00:00Z,population,LowerCR,character,NA
1986-01-01T00:00:00Z,population,LowerCR,character,NA
1987-01-01T00:00:00Z,population,LowerCR,character,NA
1988-01-01T00:00:00Z,population,LowerCR,character,NA
1989-01-01T00:00:00Z,population,LowerCR,character,NA
1990-01-01T00:00:00Z,population,LowerCR,character,NA
1991-01-01T00:00:00Z,population,LowerCR,character,NA
1992-01-01T00:00:00Z,population,LowerCR,character,NA
1993-01-01T00:00:00Z,population,LowerCR,character,NA
1994-01-01T00:00:00Z,population,LowerCR,character,NA
1995-01-01T00:00:00Z,population,LowerCR,character,NA
1996-01-01T00:00:00Z,population,LowerCR,character,NA
1997-01-01T00:00:00Z,population,LowerCR,character,NA
1998-01-01T00:00:00Z,population,LowerCR,character,NA
1999-01-01T00:00:00Z,population,LowerCR,character,NA
2000-01-01T00:00:00Z,population,LowerCR,character,NA
2001-01-01T00:00:00Z,population,LowerCR,character,NA
2002-01-01T00:00:00Z,population,LowerCR,character,NA
2003-01-01T00:00:00Z,population,LowerCR,character,NA
2004-01-01T00:00:00Z,population,LowerCR,character,NA
2005-01-01T00:00:00Z,population,LowerCR,character,NA
2006-01-01T00:00:00Z,population,LowerCR,character,NA
2007-01-01T00:00:00Z,population,LowerCR,character,NA
2008-01-01T00:00:00Z,population,LowerCR,character,NA
2009-01-01T00:00:00Z,population,LowerCR,character,NA
2010-01-01T00:00:00Z,population,LowerCR,character,NA
2011-01-01T00:00:00Z,population,LowerCR,character,NA
2012-01-01T00:00:00Z,population,LowerCR,character,NA
2013-01-01T00:00:00Z,population,LowerCR,character,NA
1990-01-01T00:00:00Z,population,ORCoast,character,NA
1991-01-01T00:00:00Z,population,ORCoast,character,NA
1992-01-01T00:00:00Z,population,ORCoast,character,NA
1993-01-01T00:00:00Z,population,ORCoast,character,NA
1994-01-01T00:00:00Z,population,ORCoast,character,NA
1995-01-01T00:00:00Z,population,ORCoast,character,NA
1996-01-01T00:00:00Z,population,ORCoast,character,NA
1997-01-01T00:00:00Z,population,ORCoast,character,NA
1998-01-01T00:00:00Z,population,ORCoast,character,NA
1999-01-01T00:00:00Z,population,ORCoast,character,NA
2000-01-01T00:00:00Z,population,ORCoast,character,NA
2001-01-01T00:00:00Z,population,ORCoast,character,NA
2002-01-01T00:00:00Z,population,ORCoast,character,NA
2003-01-01T00:00:00Z,population,ORCoast,character,NA
2004-01-01T00:00:00Z,population,ORCoast,character,NA
2005-01-01T00:00:00Z,population,ORCoast,character,NA
2006-01-01T00:00:00Z,population,ORCoast,character,NA
2007-01-01T00:00:00Z,population,ORCoast,character,NA
2008-01-01T00:00:00Z,population,ORCoast,character,NA
2009-01-01T00:00:00Z,population,ORCoast,character,NA
2010-01-01T00:00:00Z,population,ORCoast,character,NA
2011-01-01T00:00:00Z,population,ORCoast,character,NA
2012-01-01T00:00:00Z,population,ORCoast,character,NA
2013-01-01T00:00:00Z,population,ORCoast,character,NA
2014-01-01T00:00:00Z,population,ORCoast,character,NA
1974-01-01T00:00:00Z,cond_pct_nat,NA,numeric,72.73699
1975-01-01T00:00:00Z,cond_pct_nat,NA,numeric,72.110275
1976-01-01T00:00:00Z,cond_pct_nat,NA,numeric,71.94591
1977-01-01T00:00:00Z,cond_pct_nat,NA,numeric,66.583786
1978-01-01T00:00:00Z,cond_pct_nat,NA,numeric,71.83214
1978-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.96015936
1979-01-01T00:00:00Z,cond_pct_nat,NA,numeric,69.5582
1979-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.96779805
1980-01-01T00:00:00Z,cond_pct_nat,NA,numeric,59.790894
1980-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.4254467
1981-01-01T00:00:00Z,cond_pct_nat,NA,numeric,65
1981-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.0922326
1982-01-01T00:00:00Z,cond_pct_nat,NA,numeric,60.13864
1982-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.2509538
1983-01-01T00:00:00Z,cond_pct_nat,NA,numeric,71.251495
1983-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.0729162
1984-01-01T00:00:00Z,cond_pct_nat,NA,numeric,56.725594
1984-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.755594
1985-01-01T00:00:00Z,cond_pct_nat,NA,numeric,66.3977
1985-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.3204385
1986-01-01T00:00:00Z,cond_pct_nat,NA,numeric,64.12704
1986-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.2178012
1987-01-01T00:00:00Z,cond_pct_nat,NA,numeric,75.30318
1987-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.0059707
1988-01-01T00:00:00Z,cond_pct_nat,NA,numeric,74.70481
1988-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.113546
1989-01-01T00:00:00Z,cond_pct_nat,NA,numeric,75.3794
1989-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.96660125
1990-01-01T00:00:00Z,cond_pct_nat,NA,numeric,71.955605
1990-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.68574387
1991-01-01T00:00:00Z,cond_pct_nat,NA,numeric,71.37724
1991-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.2055651
1992-01-01T00:00:00Z,cond_pct_nat,NA,numeric,68.35599
1992-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.1139975
1993-01-01T00:00:00Z,cond_pct_nat,NA,numeric,77.21519
1993-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.7351937
1994-01-01T00:00:00Z,cond_pct_nat,NA,numeric,68.10297
1994-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.2454783
1995-01-01T00:00:00Z,cond_pct_nat,NA,numeric,69.819244
1995-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.86034745
1996-01-01T00:00:00Z,cond_pct_nat,NA,numeric,7.859391
1996-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.6247484
1997-01-01T00:00:00Z,cond_pct_nat,NA,numeric,18.731518
1997-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.1773744
1998-01-01T00:00:00Z,cond_pct_nat,NA,numeric,4.7510443
1998-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.6138086
1999-01-01T00:00:00Z,cond_pct_nat,NA,numeric,0.91898537
1999-01-01T00:00:00Z,cond_pop_gr,NA,numeric,0.4980789
2000-01-01T00:00:00Z,cond_pct_nat,NA,numeric,8.658129
2000-01-01T00:00:00Z,cond_pop_gr,NA,numeric,2.2052197
2001-01-01T00:00:00Z,cond_pct_nat,NA,numeric,7.345179
2001-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.5090481
2002-01-01T00:00:00Z,cond_pct_nat,NA,numeric,2.573638
2002-01-01T00:00:00Z,cond_pop_gr,NA,numeric,1.1675247
