time,variable,value_character,value_type,value_numeric
2004-11-07T00:00:00Z,station,NH25,character,NA
2005-10-21T00:00:00Z,station,NH25,character,NA
2006-04-18T00:00:00Z,station,NH25,character,NA
2006-04-26T00:00:00Z,station,NH25,character,NA
2006-05-10T00:00:00Z,station,NH25,character,NA
2006-07-06T00:00:00Z,station,NH25,character,NA
2006-08-10T00:00:00Z,station,NH25,character,NA
2006-08-29T00:00:00Z,station,NH25,character,NA
2006-09-18T00:00:00Z,station,NH25,character,NA
2006-09-26T00:00:00Z,station,NH25,character,NA
2006-10-12T00:00:00Z,station,NH25,character,NA
2006-10-20T00:00:00Z,station,NH25,character,NA
2006-10-31T00:00:00Z,station,NH25,character,NA
2006-12-05T00:00:00Z,station,NH25,character,NA
2007-01-24T00:00:00Z,station,NH25,character,NA
2007-02-13T00:00:00Z,station,NH25,character,NA
2007-03-24T00:00:00Z,station,NH25,character,NA
2007-04-18T00:00:00Z,station,NH25,character,NA
2007-04-20T00:00:00Z,station,NH25,character,NA
2007-05-15T00:00:00Z,station,NH25,character,NA
2007-06-12T00:00:00Z,station,NH25,character,NA
2007-06-27T00:00:00Z,station,NH25,character,NA
2007-07-28T00:00:00Z,station,NH25,character,NA
2007-08-07T00:00:00Z,station,NH25,character,NA
2007-08-15T00:00:00Z,station,NH25,character,NA
2007-09-12T00:00:00Z,station,NH25,character,NA
2007-09-24T00:00:00Z,station,NH25,character,NA
2007-10-12T00:00:00Z,station,NH25,character,NA
2007-10-23T00:00:00Z,station,NH25,character,NA
2007-10-26T00:00:00Z,station,NH25,character,NA
2007-11-07T00:00:00Z,station,NH25,character,NA
2008-02-17T00:00:00Z,station,NH25,character,NA
2008-03-18T00:00:00Z,station,NH25,character,NA
2008-04-12T00:00:00Z,station,NH25,character,NA
2008-05-09T00:00:00Z,station,NH25,character,NA
2008-05-22T00:00:00Z,station,NH25,character,NA
2008-05-27T00:00:00Z,station,NH25,character,NA
2008-06-11T00:00:00Z,station,NH25,character,NA
2008-07-01T00:00:00Z,station,NH25,character,NA
2008-07-12T00:00:00Z,station,NH25,character,NA
2008-07-18T00:00:00Z,station,NH25,character,NA
2008-08-12T00:00:00Z,station,NH25,character,NA
2008-09-16T00:00:00Z,station,NH25,character,NA
2008-09-23T00:00:00Z,station,NH25,character,NA
2008-10-12T00:00:00Z,station,NH25,character,NA
2008-11-24T00:00:00Z,station,NH25,character,NA
2008-12-08T00:00:00Z,station,NH25,character,NA
2009-01-14T00:00:00Z,station,NH25,character,NA
2009-01-23T00:00:00Z,station,NH25,character,NA
2009-02-04T00:00:00Z,station,NH25,character,NA
2009-02-17T00:00:00Z,station,NH25,character,NA
2009-03-06T00:00:00Z,station,NH25,character,NA
2009-04-23T00:00:00Z,station,NH25,character,NA
2009-05-07T00:00:00Z,station,NH25,character,NA
2009-05-16T00:00:00Z,station,NH25,character,NA
2009-08-14T00:00:00Z,station,NH25,character,NA
2009-09-22T00:00:00Z,station,NH25,character,NA
2009-12-01T00:00:00Z,station,NH25,character,NA
2010-02-09T00:00:00Z,station,NH25,character,NA
2010-02-22T00:00:00Z,station,NH25,character,NA
2010-03-19T00:00:00Z,station,NH25,character,NA
2010-04-11T00:00:00Z,station,NH25,character,NA
2010-05-05T00:00:00Z,station,NH25,character,NA
2010-05-15T00:00:00Z,station,NH25,character,NA
2010-05-30T00:00:00Z,station,NH25,character,NA
2010-06-03T00:00:00Z,station,NH25,character,NA
2010-06-18T00:00:00Z,station,NH25,character,NA
2010-06-26T00:00:00Z,station,NH25,character,NA
